compound_id,target_id,isomeric_smiles,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr
113-59-7,pa_ph1n1,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,0.2382,0.8141,0.4903,0.4686,0.2977,0.9499
113-92-8,pa_ph1n1,C[NH+](C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,0.0613,0.6132,0.6039,0.2131,0.1429,0.8746
113852-37-2,pa_ph1n1,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1,0.9113,0.2781,0.6713,0.8383,0.0879,0.0222
115256-11-6,pa_ph1n1,C[N@@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,0.5149,0.2628,0.2512,0.6316,0.6646,0.621
1156-19-0,pa_ph1n1,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CCCCCC2)cc1,0.3878,0.6567,0.3467,0.4744,0.9473,0.9851
117-37-3,pa_ph1n1,COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1,0.7805,0.6851,0.7707,0.8743,0.3946,0.0911
118072-93-8,pa_ph1n1,O=P([O-])([O-])[C@@](O)(Cn1cc[nH+]c1)P(=O)([O-])O,0.3647,0.8054,0.4347,0.6977,0.3228,0.1778
119413-54-6,pa_ph1n1,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1,0.6948,0.8099,0.517,0.7674,0.7098,0.3307
1195765-45-7,pa_ph1n1,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,0.7972,0.5352,0.1305,0.0686,0.3129,0.561
120-97-8,pa_ph1n1,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.0195,0.0102,0.5417,0.1566,0.1036,0.0131
120011-70-3,pa_ph1n1,COc1cc2c(cc1OC)C(=O)[C@@H](C[C@H]1CC[N@H+](Cc3ccccc3)CC1)C2,0.25,0.4509,0.7994,0.663,0.8967,0.9684
120202-66-6,pa_ph1n1,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,0.8838,0.918,0.8357,0.8756,0.9583,0.963
120511-73-1,pa_ph1n1,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,0.999,0.985,0.7824,0.7431,0.0584,0.1972
122111-03-9,pa_ph1n1,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0.7727,0.946,0.9625,0.9118,0.7631,0.6772
122320-73-4,pa_ph1n1,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1cccc[nH+]1,0.7754,0.8207,0.6666,0.3623,0.1894,0.4605
122647-32-9,pa_ph1n1,CCCCCCC[N@@H+](CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,0.4808,0.202,0.4952,0.7553,0.1909,0.5179
122883-93-6,pa_ph1n1,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.9739,0.9931,0.8206,0.8456,0.9972,0.9236
1247-42-3,pa_ph1n1,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.9151,0.778,0.9255,0.9853,0.9615,0.9795
124750-99-8,pa_ph1n1,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.4273,0.6659,0.2165,0.4029,0.3236,0.4504
124937-52-6,pa_ph1n1,Cc1ccc(O)c([C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,0.6121,0.4315,0.7,0.4182,0.6165,0.5513
125-84-8,pa_ph1n1,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,0.3818,0.535,0.9713,0.9716,0.5861,0.1204
1263-89-4,pa_ph1n1,N[C@H]1[C@@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)O[C@@H](C[NH3+])[C@@H](O)[C@@H]1O,0.751,0.1424,0.8213,0.9481,0.0837,0.3177
1264-62-6,pa_ph1n1,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,0.6666,0.5256,0.4906,0.4987,0.001,0.1707
127-07-1,pa_ph1n1,NC(=O)NO,0.2498,0.5539,0.3945,0.0863,0.6099,0.2069
127-56-0,pa_ph1n1,CC(=O)NS(=O)(=O)c1ccc(N)cc1,0.8893,0.9363,0.936,0.7937,0.4085,0.9854
127-79-7,pa_ph1n1,Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1,0.8023,0.0314,0.4245,0.4404,0.8216,0.3991
128794-94-5,pa_ph1n1,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0.5854,0.6774,0.642,0.3254,0.3501,0.0244
129101-54-8,pa_ph1n1,CCN(C)C(=O)Oc1cccc([C@H](C)[NH+](C)C)c1,0.8763,0.6262,0.8063,0.8922,0.9584,0.7519
129497-78-5,pa_ph1n1,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5[nH+]c(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)[O-])c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,0.0634,0.3472,0.1103,0.3629,0.1851,0.899
129722-12-9,pa_ph1n1,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.4805,0.8685,0.9578,0.7848,0.4419,0.515
130-61-0,pa_ph1n1,CSc1ccc2c(c1)N(CC[C@H]1CCCC[N@@H+]1C)c1ccccc1S2,0.3158,0.5502,0.1705,0.0459,0.1295,0.0041
13010-47-4,pa_ph1n1,O=NN(CCCl)C(=O)NC1CCCCC1,0.6001,0.8178,0.7139,0.734,0.9445,0.6619
132-17-2,pa_ph1n1,C[N@@H+]1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,0.8834,0.6547,0.389,0.3686,0.2633,0.7049
132-18-3,pa_ph1n1,C[N@H+]1CC[C@H](OC(c2ccccc2)c2ccccc2)CC1,0.3385,0.6407,0.022,0.0587,0.6393,0.6734
132539-06-1,pa_ph1n1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,0.9571,0.927,0.5533,0.5873,0.0965,0.865
13292-46-1,pa_ph1n1,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c([O-])c4c(O)c(c(/C=N/N5CC[NH+](C)CC5)c([O-])c4c3C2=O)NC(=O)/C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.7639,0.1856,0.2315,0.1829,0.0084,0.2225
133-67-5,pa_ph1n1,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](C(Cl)Cl)NS2(=O)=O,0.9652,0.9866,0.8778,0.9245,0.534,0.9414
133099-07-7,pa_ph1n1,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@H+](CCc2ccc3c(c2)CCO3)C1,0.9953,0.9874,0.6593,0.4896,0.0477,0.4609
133454-47-4,pa_ph1n1,COc1cc(C(C)=O)ccc1OCCC[N@H+]1CC[C@@H](c2noc3cc(F)ccc32)CC1,0.999,0.999,0.8858,0.9288,0.8599,0.1998
134308-13-7,pa_ph1n1,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0.2931,0.0553,0.4387,0.6798,0.0222,0.1921
134523-03-8,pa_ph1n1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],0.4701,0.7698,0.9707,0.9427,0.8199,0.9109
135729-62-3,pa_ph1n1,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2,0.957,0.3749,0.1428,0.6941,0.5716,0.8427
136-40-3,pa_ph1n1,Nc1ccc(N=Nc2ccccc2)c(N)n1,0.8472,0.4905,0.6465,0.4929,0.9008,0.5886
136572-09-3,pa_ph1n1,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,0.2547,0.451,0.4824,0.2511,0.044,0.1832
137-58-6,pa_ph1n1,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,0.9744,0.969,0.8558,0.9406,0.0763,0.767
137071-32-0,pa_ph1n1,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,0.4625,0.4013,0.0299,0.1036,0.1078,0.1061
138402-11-6,pa_ph1n1,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.6264,0.9821,0.1762,0.9143,0.6656,0.2495
138530-94-6,pa_ph1n1,Cc1c(OCC(F)(F)F)cc[nH+]c1C[S@](=O)c1nc2ccccc2[nH]1,0.9525,0.9866,0.9517,0.8406,0.2451,0.3445
138926-19-9,pa_ph1n1,CCCCC[N@@H+](C)CC[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O,0.9381,0.9703,0.7049,0.8064,0.6108,0.8632
139110-80-8,pa_ph1n1,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],0.1832,0.7215,0.0373,0.0402,0.3377,0.893
140462-76-6,pa_ph1n1,C[NH+](C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)[O-])cc21,0.9981,0.999,0.7108,0.7724,0.9225,0.0797
141-90-2,pa_ph1n1,O=c1cc[nH]c(=S)[nH]1,0.8869,0.9793,0.4102,0.3721,0.4522,0.1556
141505-33-1,pa_ph1n1,C[C@@H]1CC(=O)NN=C1c1ccc([N-]N=C(C#N)C#N)cc1,0.9595,0.9421,0.768,0.9488,0.9218,0.9145
141625-93-6,pa_ph1n1,CCCCc1oc2ccc([N-]S(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,0.9149,0.8851,0.7325,0.3574,0.3482,0.5919
142340-99-6,pa_ph1n1,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.5689,0.7526,0.1038,0.1107,0.011,0.3088
144-82-1,pa_ph1n1,Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,0.2855,0.7845,0.959,0.8752,0.3638,0.6543
144060-53-7,pa_ph1n1,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],0.1905,0.0806,0.3763,0.2459,0.7515,0.4198
144689-63-4,pa_ph1n1,CCCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.7855,0.6389,0.9134,0.9212,0.5729,0.6952
144701-48-4,pa_ph1n1,CCCc1[nH+]c2c(C)cc(-c3[nH+]c4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,0.9084,0.6828,0.0291,0.2938,0.3459,0.5395
145040-37-5,pa_ph1n1,CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0.3854,0.3696,0.2877,0.1716,0.0745,0.0905
145108-58-3,pa_ph1n1,Cc1cccc([C@H](C)c2c[nH+]c[nH]2)c1C,0.4436,0.2446,0.3734,0.5689,0.2002,0.6093
146464-95-1,pa_ph1n1,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,0.2858,0.7088,0.8664,0.1974,0.4267,0.1921
147-94-4,pa_ph1n1,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0.696,0.7119,0.6176,0.8588,0.1854,0.8255
147127-20-6,pa_ph1n1,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)([O-])O,0.6358,0.4774,0.1447,0.3591,0.3088,0.4408
147403-03-0,pa_ph1n1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,0.9811,0.9394,0.999,0.9831,0.6248,0.7598
1476-53-5,pa_ph1n1,CO[C@@H]1[C@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc([O-])c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,0.2936,0.4653,0.2166,0.4253,0.2771,0.1666
148-79-8,pa_ph1n1,c1ccc2[nH]c(-c3cscn3)nc2c1,0.9291,0.7215,0.8322,0.9388,0.3969,0.0155
148849-67-6,pa_ph1n1,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,0.9741,0.9758,0.8443,0.9671,0.51,0.2627
149647-78-9,pa_ph1n1,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.8468,0.9923,0.9041,0.9042,0.7119,0.6332
150-76-5,pa_ph1n1,COc1ccc(O)cc1,0.336,0.6492,0.044,0.0388,0.5484,0.4127
150322-43-3,pa_ph1n1,CC(=O)Oc1cc2c(s1)CCN([C@H](C(=O)C1CC1)c1ccccc1F)C2,0.8186,0.6957,0.2398,0.128,0.2708,0.5488
150399-23-8,pa_ph1n1,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1,0.7104,0.923,0.6218,0.8737,0.4667,0.6549
150683-30-0,pa_ph1n1,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,0.0039,0.0795,0.4062,0.2892,0.6809,0.9637
1508-65-2,pa_ph1n1,CC[NH+](CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,0.8907,0.8281,0.9441,0.8881,0.5694,0.1934
1508-75-4,pa_ph1n1,CCN(Cc1ccncc1)C(=O)[C@H](CO)c1ccccc1,0.9792,0.9678,0.9719,0.6924,0.4292,0.7235
1508-76-5,pa_ph1n1,O[C@](CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1,0.1322,0.0148,0.0285,0.1793,0.1387,0.818
152-62-5,pa_ph1n1,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,0.9562,0.7394,0.9362,0.9955,0.7639,0.9904
152520-56-4,pa_ph1n1,O[C@@H](C[NH2+]C[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,0.9489,0.5424,0.9757,0.9105,0.999,0.9899
15307-81-0,pa_ph1n1,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,0.8114,0.9406,0.7609,0.7135,0.2033,0.0377
153559-49-0,pa_ph1n1,C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0.2687,0.5755,0.4198,0.8626,0.5825,0.1877
154229-19-3,pa_ph1n1,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,0.346,0.7277,0.393,0.2685,0.5533,0.2973
154361-50-9,pa_ph1n1,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,0.8856,0.9924,0.8771,0.4226,0.8238,0.7621
155206-00-1,pa_ph1n1,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,0.9075,0.935,0.4969,0.6224,0.9636,0.3365
155213-67-5,pa_ph1n1,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.3446,0.7149,0.9838,0.954,0.027,0.5112
156-57-0,pa_ph1n1,[NH3+]CCS,0.0289,0.001,0.2551,0.7037,0.1561,0.0688
15686-71-2,pa_ph1n1,CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccccc3)[C@H]2SC1,0.4739,0.0074,0.3733,0.4676,0.1854,0.075
159811-51-5,pa_ph1n1,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc([NH+](C)C)cc3)C[C@@]21C,0.8996,0.3895,0.9085,0.9645,0.4486,0.7313
160970-54-7,pa_ph1n1,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)[NH2+]CCOc1ccccc1OCC(F)(F)F,0.4349,0.6562,0.8839,0.825,0.1438,0.3966
161735-79-1,pa_ph1n1,C#CC[NH2+][C@@H]1CCc2ccccc21,0.0986,0.7616,0.4425,0.4961,0.1979,0.1848
161814-49-9,pa_ph1n1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.6049,0.8003,0.1233,0.1856,0.1466,0.1424
162011-90-7,pa_ph1n1,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,0.0919,0.0212,0.5432,0.488,0.3437,0.4389
162401-32-3,pa_ph1n1,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,0.7231,0.3802,0.9398,0.9483,0.0787,0.1597
163222-33-1,pa_ph1n1,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0.7289,0.2577,0.0583,0.1635,0.3935,0.3011
164656-23-9,pa_ph1n1,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,0.243,0.8359,0.1952,0.2281,0.7018,0.5609
165800-03-3,pa_ph1n1,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.0719,0.5693,0.7157,0.1643,0.2344,0.0661
169590-42-5,pa_ph1n1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.323,0.1648,0.6707,0.5223,0.9412,0.9965
170729-80-3,pa_ph1n1,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0.9395,0.9405,0.434,0.1977,0.3862,0.0969
171599-83-0,pa_ph1n1,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12,0.011,0.2438,0.8881,0.2494,0.0218,0.4609
17321-77-6,pa_ph1n1,C[NH+](C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.5028,0.6425,0.9813,0.9312,0.1629,0.3454
1744-22-5,pa_ph1n1,Nc1nc2ccc(OC(F)(F)F)cc2s1,0.5175,0.4505,0.3603,0.4992,0.143,0.365
175865-59-5,pa_ph1n1,CC(C)[C@H]([NH3+])C(=O)OC[C@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,0.7315,0.8279,0.9058,0.9428,0.5131,0.7763
179324-69-7,pa_ph1n1,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.2206,0.3499,0.9191,0.7584,0.3221,0.4366
179463-17-3,pa_ph1n1,CC[C@@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCC[NH3+])NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC[NH3+])NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0.7174,0.8785,0.6608,0.8516,0.9346,0.2065
18010-40-7,pa_ph1n1,CCCC[N@@H+]1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,0.4288,0.4935,0.007,0.0418,0.786,0.6485
183133-96-2,pa_ph1n1,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,0.7069,0.4295,0.245,0.1265,0.0372,0.1393
186826-86-8,pa_ph1n1,COc1c(N2C[C@@H]3CCC[NH2+][C@@H]3C2)c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c12,0.6527,0.4995,0.1286,0.363,0.7828,0.282
188062-50-2,pa_ph1n1,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0.7781,0.9239,0.9225,0.916,0.6324,0.4144
190786-44-8,pa_ph1n1,O=C([O-])CCC[N@H+]1CC[C@H](O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0.8418,0.2673,0.9501,0.7966,0.5764,0.5549
