dataset_label,model_type,comparison_name,p,spearman_mean,spearman_std,n_folds,row_label
fasn,ridge,method_ranks,6,0.89298,0.028783102681955573,5,fasn | ridge
na,xgboost,method_scores_plus_chemical_descriptors_plus_target_context,33,0.9018599999999999,0.01701023221475829,5,na | xgboost
na,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,35,0.90994,0.019757099989623987,5,na | xgboost
na,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,49,0.9097,0.01941919153826954,5,na | xgboost
pa,ridge,method_scores,6,0.05608,0.04755220289324144,5,pa | ridge
pa,ridge,chemical_descriptors,13,0.08248,0.06304769623071092,5,pa | ridge
pa,ridge,method_scores_plus_target_context,20,0.09912000000000001,0.044318133985988176,5,pa | ridge
pa,ridge,method_scores_plus_glide_uncertainty_plus_target_context,21,0.12996000000000002,0.057863399485339605,5,pa | ridge
pa,ridge,method_scores_plus_chemical_descriptors_plus_target_context,33,0.13096,0.06955992380674378,5,pa | ridge
pa,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,35,0.14604,0.09896250805229222,5,pa | ridge
pa,ridge,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,49,0.18438000000000002,0.11984090286709292,5,pa | ridge
pa,xgboost,method_scores,6,0.34371999999999997,0.03375799164642352,5,pa | xgboost
pa,xgboost,chemical_descriptors,13,0.6900000000000001,0.01771764657058047,5,pa | xgboost
pa,xgboost,method_scores_plus_target_context,20,0.21326,0.03952028593013972,5,pa | xgboost
pa,xgboost,method_scores_plus_glide_uncertainty_plus_target_context,21,0.27424,0.03915121964894579,5,pa | xgboost
pa,xgboost,method_scores_plus_chemical_descriptors_plus_target_context,33,0.61442,0.03166933848377638,5,pa | xgboost
pa,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_target_context,35,0.3506,0.058366343041173996,5,pa | xgboost
pa,xgboost,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,49,0.606,0.05155967416499059,5,pa | xgboost
