dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params,param_alpha,param_log10_alpha,param_signature,outer_fold_spearman,feature_set_label,target_class_label
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores,ridge,6,nested,spearman,9,100,0.8794,0.8794,{'alpha': 9.05},9.05,0.9566485792052033,alpha=9.05,0.8739,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores,ridge,6,nested,spearman,71,100,0.853,0.853,{'alpha': 8.68},8.68,0.9385197251764918,alpha=8.68,0.9128,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores,ridge,6,nested,spearman,12,100,0.8903,0.8903,{'alpha': 7.46},7.46,0.8727388274726688,alpha=7.46,0.7968,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores,ridge,6,nested,spearman,13,100,0.8899,0.8899,{'alpha': 0.000116},0.000116,-3.9355420107730814,alpha=0.000116,0.8062,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores,ridge,6,nested,spearman,61,100,0.851,0.851,{'alpha': 18.2},18.2,1.2600713879850747,alpha=18.2,0.8906,Scores,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,51,100,0.8645,0.8645,{'alpha': 37.2},37.2,1.5705429398818975,alpha=37.2,0.8719,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,51,100,0.8404,0.8404,{'alpha': 12.0},12.0,1.0791812460476249,alpha=12.0,0.9053,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,86,100,0.8829,0.8829,{'alpha': 14.5},14.5,1.1613680022349748,alpha=14.5,0.7991,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,44,100,0.8847,0.8847,{'alpha': 16.4},16.4,1.2148438480476977,alpha=16.4,0.772,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,69,100,0.8362,0.8362,{'alpha': 5.6},5.6,0.7481880270062004,alpha=5.6,0.8914,Scores + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,92,100,0.8741,0.8741,{'alpha': 31.7},31.7,1.5010592622177514,alpha=31.7,0.8695,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,74,100,0.855,0.855,{'alpha': 4.37},4.37,0.6404814369704218,alpha=4.37,0.9105,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,38,100,0.8938,0.8938,{'alpha': 10.6},10.6,1.0253058652647702,alpha=10.6,0.8033,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,48,100,0.8896,0.8896,{'alpha': 6.74},6.74,0.8286598965353198,alpha=6.74,0.8044,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,20,100,0.8493,0.8493,{'alpha': 27.0},27.0,1.4313637641589874,alpha=27.0,0.8876,Scores + Glide uncertainty,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,42,100,0.8983,0.8983,{'alpha': 5.25},5.25,0.7201593034059569,alpha=5.25,0.8934,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks,ridge,12,nested,spearman,48,100,0.8813,0.8813,{'alpha': 0.19},0.19,-0.721246399047171,alpha=0.19,0.9346,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks,ridge,12,nested,spearman,26,100,0.9104,0.9104,{'alpha': 4.58},4.58,0.6608654780038692,alpha=4.58,0.8497,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks,ridge,12,nested,spearman,52,100,0.9047,0.9047,{'alpha': 0.25},0.25,-0.6020599913279624,alpha=0.25,0.8726,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks,ridge,12,nested,spearman,43,100,0.8755,0.8755,{'alpha': 0.827},0.827,-0.08249449044745336,alpha=0.827,0.9115,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,36,100,0.8989,0.8989,{'alpha': 41.8},41.8,1.6211762817750353,alpha=41.8,0.8803,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,37,100,0.8746,0.8746,{'alpha': 9.63},9.63,0.9836262871245346,alpha=9.63,0.9339,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,22,100,0.9096,0.9096,{'alpha': 38.2},38.2,1.5820633629117087,alpha=38.2,0.8437,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,85,100,0.9022,0.9022,{'alpha': 84.6},84.6,1.9273703630390235,alpha=84.6,0.8626,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,52,100,0.8765,0.8765,{'alpha': 102.0},102.0,2.0086001717619175,alpha=102.0,0.9016,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,56,100,0.8918,0.8918,{'alpha': 85.8},85.8,1.9334872878487055,alpha=85.8,0.8792,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,41,100,0.873,0.873,{'alpha': 30.1},30.1,1.4785664955938433,alpha=30.1,0.9321,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,91,100,0.9075,0.9075,{'alpha': 129.0},129.0,2.110589710299249,alpha=129.0,0.8491,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,68,100,0.9035,0.9035,{'alpha': 76.5},76.5,1.8836614351536176,alpha=76.5,0.8351,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,71,100,0.865,0.865,{'alpha': 91.4},91.4,1.9609461957338314,alpha=91.4,0.9004,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,71,100,0.222,0.222,{'alpha': 16.3},16.3,1.212187604403958,alpha=16.3,-0.1039,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,chemical_descriptors,ridge,13,nested,spearman,32,100,0.1721,0.1721,{'alpha': 970.0},970.0,2.9867717342662448,alpha=970.0,0.083,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,chemical_descriptors,ridge,13,nested,spearman,71,100,0.1305,0.1305,{'alpha': 897.0},897.0,2.952792443044092,alpha=897.0,0.2519,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,chemical_descriptors,ridge,13,nested,spearman,21,100,0.1452,0.1452,{'alpha': 2.04},2.04,0.3096301674258988,alpha=2.04,0.1143,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,chemical_descriptors,ridge,13,nested,spearman,45,100,0.2031,0.2031,{'alpha': 90.9},90.9,1.9585638832219674,alpha=90.9,0.0303,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_ranks,ridge,6,nested,spearman,76,100,0.125,0.125,{'alpha': 40.4},40.4,1.606381365110605,alpha=40.4,-0.2081,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_ranks,ridge,6,nested,spearman,61,100,-0.1083,-0.1083,{'alpha': 381.0},381.0,2.5809249756756194,alpha=381.0,-0.0246,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_ranks,ridge,6,nested,spearman,71,100,0.1245,0.1245,{'alpha': 100.0},100.0,2.0,alpha=100.0,-0.1867,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_ranks,ridge,6,nested,spearman,14,100,-0.0713,-0.0713,{'alpha': 860.0},860.0,2.934498451243568,alpha=860.0,0.2821,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_ranks,ridge,6,nested,spearman,16,100,0.0609,0.0609,{'alpha': 823.0},823.0,2.91539983521227,alpha=823.0,-0.0691,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores,ridge,6,nested,spearman,78,100,0.1006,0.1006,{'alpha': 111.0},111.0,2.0453229787866576,alpha=111.0,-0.2108,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores,ridge,6,nested,spearman,24,100,-0.1238,-0.1238,{'alpha': 1.84},1.84,0.2648178230095365,alpha=1.84,-0.0456,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores,ridge,6,nested,spearman,91,100,0.0702,0.0702,{'alpha': 717.0},717.0,2.8555191556678,alpha=717.0,-0.1395,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores,ridge,6,nested,spearman,91,100,-0.0973,-0.0973,{'alpha': 174.0},174.0,2.2405492482826,alpha=174.0,0.2322,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores,ridge,6,nested,spearman,64,100,0.0566,0.0566,{'alpha': 398.0},398.0,2.5998830720736876,alpha=398.0,-0.1316,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,14,100,0.2451,0.2451,{'alpha': 55.7},55.7,1.745855195173729,alpha=55.7,-0.2265,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,84,100,0.1074,0.1074,{'alpha': 686.0},686.0,2.8363241157067516,alpha=686.0,0.0288,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,62,100,0.1387,0.1387,{'alpha': 194.0},194.0,2.287801729930226,alpha=194.0,0.2833,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,56,100,0.1007,0.1007,{'alpha': 13.9},13.9,1.1430148002540952,alpha=13.9,0.1568,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,31,100,0.1993,0.1993,{'alpha': 82.1},82.1,1.9143431571194407,alpha=82.1,-0.0088,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,66,100,0.0733,0.0733,{'alpha': 28.9},28.9,1.4608978427565478,alpha=28.9,-0.2002,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,96,100,-0.0472,-0.0472,{'alpha': 14.5},14.5,1.1613680022349748,alpha=14.5,0.042,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,51,100,0.0837,0.0837,{'alpha': 524.0},524.0,2.7193312869837265,alpha=524.0,-0.2004,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,92,100,-0.1079,-0.1079,{'alpha': 257.0},257.0,2.4099331233312946,alpha=257.0,0.3284,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,27,100,0.0567,0.0567,{'alpha': 987.0},987.0,2.9943171526696366,alpha=987.0,-0.0988,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,95,100,0.1147,0.1147,{'alpha': 94.3},94.3,1.9745116927373283,alpha=94.3,-0.2076,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks,ridge,12,nested,spearman,19,100,-0.0896,-0.0896,{'alpha': 0.00583},0.00583,-2.234331445240986,alpha=0.00583,0.0934,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks,ridge,12,nested,spearman,84,100,0.1057,0.1057,{'alpha': 701.0},701.0,2.8457180179666586,alpha=701.0,-0.1615,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks,ridge,12,nested,spearman,78,100,0.0011,0.0011,{'alpha': 0.348},0.348,-0.4584207560534191,alpha=0.348,0.078,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks,ridge,12,nested,spearman,23,100,0.0548,0.0548,{'alpha': 945.0},945.0,2.975431808509263,alpha=945.0,-0.0909,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,50,100,0.1151,0.1151,{'alpha': 995.0},995.0,2.9978230807457256,alpha=995.0,-0.1786,Scores + Ranks + Rank summary,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,24,100,-0.0661,-0.0661,{'alpha': 0.00493},0.00493,-2.30715308072277,alpha=0.00493,0.0943,Scores + Ranks + Rank summary,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,22,100,0.1194,0.1194,{'alpha': 132.0},132.0,2.12057393120585,alpha=132.0,-0.1812,Scores + Ranks + Rank summary,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,91,100,-0.001,-0.001,{'alpha': 0.0956},0.0956,-1.0195421077239,alpha=0.0956,0.1081,Scores + Ranks + Rank summary,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,74,100,0.0502,0.0502,{'alpha': 954.0},954.0,2.979548374704095,alpha=954.0,-0.0121,Scores + Ranks + Rank summary,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,17,100,0.2468,0.2468,{'alpha': 90.0},90.0,1.954242509439325,alpha=90.0,-0.1394,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,50,100,0.0855,0.0855,{'alpha': 72.7},72.7,1.861534410859038,alpha=72.7,-0.004,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,91,100,0.183,0.183,{'alpha': 85.3},85.3,1.930949031167523,alpha=85.3,0.1236,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,21,100,0.1403,0.1403,{'alpha': 0.0641},0.0641,-1.1931419704811825,alpha=0.0641,0.1562,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,51,100,0.1977,0.1977,{'alpha': 58.1},58.1,1.7641761323903307,alpha=58.1,0.09,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,Furin
na,na_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,35,100,0.5325,0.5325,{'alpha': 18.7},18.7,1.271841606536499,alpha=18.7,0.5269,Chem. descriptors,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_1,1,chemical_descriptors,ridge,13,nested,spearman,93,100,0.5291,0.5291,{'alpha': 21.3},21.3,1.3283796034387378,alpha=21.3,0.5723,Chem. descriptors,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_2,2,chemical_descriptors,ridge,13,nested,spearman,76,100,0.5302,0.5302,{'alpha': 3.02},3.02,0.48000694295715063,alpha=3.02,0.5445,Chem. descriptors,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_3,3,chemical_descriptors,ridge,13,nested,spearman,42,100,0.5394,0.5394,{'alpha': 20.5},20.5,1.3117538610557542,alpha=20.5,0.5394,Chem. descriptors,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_4,4,chemical_descriptors,ridge,13,nested,spearman,51,100,0.5507,0.5507,{'alpha': 12.0},12.0,1.0791812460476249,alpha=12.0,0.5517,Chem. descriptors,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores,ridge,6,nested,spearman,68,100,0.8859,0.8859,{'alpha': 40.6},40.6,1.608526033577194,alpha=40.6,0.9046,Scores,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores,ridge,6,nested,spearman,56,100,0.8946,0.8946,{'alpha': 55.7},55.7,1.745855195173729,alpha=55.7,0.8733,Scores,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores,ridge,6,nested,spearman,26,100,0.8848,0.8848,{'alpha': 54.6},54.6,1.7371926427047373,alpha=54.6,0.8848,Scores,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores,ridge,6,nested,spearman,24,100,0.8918,0.8918,{'alpha': 47.7},47.7,1.678518379040114,alpha=47.7,0.8749,Scores,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores,ridge,6,nested,spearman,13,100,0.8791,0.8791,{'alpha': 101.0},101.0,2.0043213737826426,alpha=101.0,0.8993,Scores,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,13,100,0.8855,0.8855,{'alpha': 101.0},101.0,2.0043213737826426,alpha=101.0,0.8964,Scores + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,13,100,0.893,0.893,{'alpha': 35.2},35.2,1.546542663478131,alpha=35.2,0.8731,Scores + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,78,100,0.8811,0.8811,{'alpha': 61.2},61.2,1.7867514221455612,alpha=61.2,0.8836,Scores + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,20,100,0.8918,0.8918,{'alpha': 92.5},92.5,1.9661417327390327,alpha=92.5,0.8759,Scores + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_chemical_descriptors_plus_target_context,ridge,33,nested,spearman,22,100,0.8766,0.8766,{'alpha': 53.6},53.6,1.72916478969277,alpha=53.6,0.9024,Scores + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,20,100,0.8862,0.8862,{'alpha': 92.5},92.5,1.9661417327390327,alpha=92.5,0.9009,Scores + Glide uncertainty + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,57,100,0.8957,0.8957,{'alpha': 44.6},44.6,1.649334858712142,alpha=44.6,0.8794,Scores + Glide uncertainty + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,16,100,0.8849,0.8849,{'alpha': 104.0},104.0,2.0170333392987803,alpha=104.0,0.8822,Scores + Glide uncertainty + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,92,100,0.8944,0.8944,{'alpha': 110.0},110.0,2.041392685158225,alpha=110.0,0.8757,Scores + Glide uncertainty + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_glide_uncertainty_plus_target_context,ridge,21,nested,spearman,22,100,0.8797,0.8797,{'alpha': 84.6},84.6,1.9273703630390235,alpha=84.6,0.9013,Scores + Glide uncertainty + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,20,100,0.9056,0.9056,{'alpha': 237.0},237.0,2.374748346010104,alpha=237.0,0.9234,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,50,100,0.9116,0.9116,{'alpha': 79.2},79.2,1.8987251815894934,alpha=79.2,0.9038,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,17,100,0.9084,0.9084,{'alpha': 101.0},101.0,2.0043213737826426,alpha=101.0,0.9021,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors + Target context,NA
na,na_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors_plus_target_context,ridge,49,nested,spearman,7,100,0.9152,0.9152,{'alpha': 116.0},116.0,2.0644579892269186,alpha=116.0,0.8878,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors + Target context,NA
