dataset_label,base_name,selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,param_log10_learning_rate,param_signature,outer_fold_spearman,feature_set_label,target_class_label
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,81,100,0.8907,0.8907,"{'learning_rate': 0.0172, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.569}",0.0172,2.0,400.0,0.569,-1.764471553092451,learning_rate=0.0172;max_depth=2;n_estimators=400;subsample=0.569,0.8619,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks,xgboost,12,nested,spearman,31,100,0.8535,0.8535,"{'learning_rate': 0.0163, 'max_depth': 3, 'n_estimators': 450, 'subsample': 0.574}",0.0163,3.0,450.0,0.574,-1.7878123955960423,learning_rate=0.0163;max_depth=3;n_estimators=450;subsample=0.574,0.9213,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks,xgboost,12,nested,spearman,91,100,0.8845,0.8845,"{'learning_rate': 0.0432, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.635}",0.0432,2.0,250.0,0.635,-1.3645162531850878,learning_rate=0.0432;max_depth=2;n_estimators=250;subsample=0.635,0.8189,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks,xgboost,12,nested,spearman,82,100,0.8875,0.8875,"{'learning_rate': 0.016, 'max_depth': 3, 'n_estimators': 450, 'subsample': 0.519}",0.016,3.0,450.0,0.519,-1.7958800173440752,learning_rate=0.016;max_depth=3;n_estimators=450;subsample=0.519,0.8473,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks,xgboost,12,nested,spearman,97,100,0.8673,0.8673,"{'learning_rate': 0.0142, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.539}",0.0142,3.0,300.0,0.539,-1.8477116556169435,learning_rate=0.0142;max_depth=3;n_estimators=300;subsample=0.539,0.8797,Scores + Ranks,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,90,100,0.9045,0.9045,"{'learning_rate': 0.00647, 'max_depth': 2, 'n_estimators': 500, 'subsample': 0.755}",0.00647,2.0,500.0,0.755,-2.1890957193312994,learning_rate=0.00647;max_depth=2;n_estimators=500;subsample=0.755,0.8901,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,88,100,0.8824,0.8824,"{'learning_rate': 0.0104, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.523}",0.0104,2.0,100.0,0.523,-1.9829666607012197,learning_rate=0.0104;max_depth=2;n_estimators=100;subsample=0.523,0.9252,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,63,100,0.9121,0.9121,"{'learning_rate': 0.00123, 'max_depth': 2, 'n_estimators': 550, 'subsample': 0.948}",0.00123,2.0,550.0,0.948,-2.910094888560602,learning_rate=0.00123;max_depth=2;n_estimators=550;subsample=0.948,0.8356,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,86,100,0.9061,0.9061,"{'learning_rate': 0.00132, 'max_depth': 2, 'n_estimators': 600, 'subsample': 0.501}",0.00132,2.0,600.0,0.501,-2.87942606879415,learning_rate=0.00132;max_depth=2;n_estimators=600;subsample=0.501,0.8935,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,62,100,0.8792,0.8792,"{'learning_rate': 0.00126, 'max_depth': 2, 'n_estimators': 550, 'subsample': 0.587}",0.00126,2.0,550.0,0.587,-2.899629454882437,learning_rate=0.00126;max_depth=2;n_estimators=550;subsample=0.587,0.9117,Scores + Ranks + Rank summary,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,92,100,0.9078,0.9078,"{'learning_rate': 0.00848, 'max_depth': 2, 'n_estimators': 350, 'subsample': 0.79}",0.00848,2.0,350.0,0.79,-2.0716041477432863,learning_rate=0.00848;max_depth=2;n_estimators=350;subsample=0.79,0.8927,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,82,100,0.8865,0.8865,"{'learning_rate': 0.00331, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.518}",0.00331,2.0,250.0,0.518,-2.480172006224281,learning_rate=0.00331;max_depth=2;n_estimators=250;subsample=0.518,0.9204,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,72,100,0.9146,0.9146,"{'learning_rate': 0.00496, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.732}",0.00496,2.0,400.0,0.732,-2.3045183235098023,learning_rate=0.00496;max_depth=2;n_estimators=400;subsample=0.732,0.8385,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,82,100,0.9062,0.9062,"{'learning_rate': 0.00149, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.511}",0.00149,2.0,450.0,0.511,-2.826813731587726,learning_rate=0.00149;max_depth=2;n_estimators=450;subsample=0.511,0.8889,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
fasn,fasn_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,84,100,0.8819,0.8819,"{'learning_rate': 0.00196, 'max_depth': 2, 'n_estimators': 450, 'subsample': 0.627}",0.00196,2.0,450.0,0.627,-2.707743928643524,learning_rate=0.00196;max_depth=2;n_estimators=450;subsample=0.627,0.9183,Scores + Ranks + Rank summary + Glide uncertainty + Chem. descriptors,FASN
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,93,100,0.1815,0.1815,"{'learning_rate': 0.271, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.831}",0.271,7.0,300.0,0.831,-0.5670307091255943,learning_rate=0.271;max_depth=7;n_estimators=300;subsample=0.831,-0.1705,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,chemical_descriptors,xgboost,13,nested,spearman,88,100,0.0741,0.0741,"{'learning_rate': 0.0148, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.625}",0.0148,2.0,100.0,0.625,-1.8297382846050425,learning_rate=0.0148;max_depth=2;n_estimators=100;subsample=0.625,0.0677,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,chemical_descriptors,xgboost,13,nested,spearman,63,100,0.2292,0.2292,"{'learning_rate': 0.0111, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.877}",0.0111,3.0,100.0,0.877,-1.9546770212133426,learning_rate=0.0111;max_depth=3;n_estimators=100;subsample=0.877,-0.0398,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,chemical_descriptors,xgboost,13,nested,spearman,78,100,-0.0221,-0.0221,"{'learning_rate': 0.00122, 'max_depth': 2, 'n_estimators': 550, 'subsample': 0.594}",0.00122,2.0,550.0,0.594,-2.9136401693252516,learning_rate=0.00122;max_depth=2;n_estimators=550;subsample=0.594,0.2959,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,chemical_descriptors,xgboost,13,nested,spearman,74,100,0.1661,0.1661,"{'learning_rate': 0.00244, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.649}",0.00244,2.0,250.0,0.649,-2.612610173661271,learning_rate=0.00244;max_depth=2;n_estimators=250;subsample=0.649,-0.0034,Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,89,100,0.1763,0.1763,"{'learning_rate': 0.261, 'max_depth': 8, 'n_estimators': 550, 'subsample': 0.97}",0.261,8.0,550.0,0.97,-0.583359492661719,learning_rate=0.261;max_depth=8;n_estimators=550;subsample=0.97,-0.1103,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_ranks,xgboost,6,nested,spearman,77,100,0.1293,0.1293,"{'learning_rate': 0.00341, 'max_depth': 4, 'n_estimators': 350, 'subsample': 0.928}",0.00341,4.0,350.0,0.928,-2.4672456210075024,learning_rate=0.00341;max_depth=4;n_estimators=350;subsample=0.928,-0.0836,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_ranks,xgboost,6,nested,spearman,74,100,0.2026,0.2026,"{'learning_rate': 0.00288, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.96}",0.00288,2.0,100.0,0.96,-2.540607512240769,learning_rate=0.00288;max_depth=2;n_estimators=100;subsample=0.96,-0.006,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_ranks,xgboost,6,nested,spearman,58,100,0.1261,0.1261,"{'learning_rate': 0.297, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.806}",0.297,3.0,150.0,0.806,-0.5272435506827877,learning_rate=0.297;max_depth=3;n_estimators=150;subsample=0.806,-0.1259,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_ranks,xgboost,6,nested,spearman,70,100,0.1637,0.1637,"{'learning_rate': 0.263, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.522}",0.263,6.0,200.0,0.522,-0.5800442515102421,learning_rate=0.263;max_depth=6;n_estimators=200;subsample=0.522,-0.2178,Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores,xgboost,6,nested,spearman,89,100,0.1763,0.1763,"{'learning_rate': 0.261, 'max_depth': 8, 'n_estimators': 550, 'subsample': 0.97}",0.261,8.0,550.0,0.97,-0.583359492661719,learning_rate=0.261;max_depth=8;n_estimators=550;subsample=0.97,-0.1103,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores,xgboost,6,nested,spearman,77,100,0.1293,0.1293,"{'learning_rate': 0.00341, 'max_depth': 4, 'n_estimators': 350, 'subsample': 0.928}",0.00341,4.0,350.0,0.928,-2.4672456210075024,learning_rate=0.00341;max_depth=4;n_estimators=350;subsample=0.928,-0.0836,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores,xgboost,6,nested,spearman,74,100,0.2026,0.2026,"{'learning_rate': 0.00288, 'max_depth': 2, 'n_estimators': 100, 'subsample': 0.96}",0.00288,2.0,100.0,0.96,-2.540607512240769,learning_rate=0.00288;max_depth=2;n_estimators=100;subsample=0.96,-0.006,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores,xgboost,6,nested,spearman,58,100,0.1261,0.1261,"{'learning_rate': 0.297, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.806}",0.297,3.0,150.0,0.806,-0.5272435506827877,learning_rate=0.297;max_depth=3;n_estimators=150;subsample=0.806,-0.1259,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores,xgboost,6,nested,spearman,70,100,0.1637,0.1637,"{'learning_rate': 0.263, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.522}",0.263,6.0,200.0,0.522,-0.5800442515102421,learning_rate=0.263;max_depth=6;n_estimators=200;subsample=0.522,-0.2178,Scores,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,64,100,0.2146,0.2146,"{'learning_rate': 0.012, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.809}",0.012,7.0,200.0,0.809,-1.9208187539523751,learning_rate=0.012;max_depth=7;n_estimators=200;subsample=0.809,0.051,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,38,100,0.1703,0.1703,"{'learning_rate': 0.156, 'max_depth': 4, 'n_estimators': 550, 'subsample': 0.947}",0.156,4.0,550.0,0.947,-0.8068754016455384,learning_rate=0.156;max_depth=4;n_estimators=550;subsample=0.947,0.0595,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,33,100,0.2567,0.2567,"{'learning_rate': 0.00821, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.957}",0.00821,7.0,300.0,0.957,-2.0856568428805593,learning_rate=0.00821;max_depth=7;n_estimators=300;subsample=0.957,0.1063,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,53,100,0.1785,0.1785,"{'learning_rate': 0.292, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.928}",0.292,7.0,150.0,0.928,-0.5346171485515817,learning_rate=0.292;max_depth=7;n_estimators=150;subsample=0.928,0.1644,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,96,100,0.1919,0.1919,"{'learning_rate': 0.0106, 'max_depth': 4, 'n_estimators': 250, 'subsample': 0.601}",0.0106,4.0,250.0,0.601,-1.9746941347352298,learning_rate=0.0106;max_depth=4;n_estimators=250;subsample=0.601,0.05,Scores + Chem. descriptors,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,10,100,0.1579,0.1579,"{'learning_rate': 0.252, 'max_depth': 6, 'n_estimators': 600, 'subsample': 0.509}",0.252,6.0,600.0,0.509,-0.5985994592184559,learning_rate=0.252;max_depth=6;n_estimators=600;subsample=0.509,-0.1271,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,40,100,0.1765,0.1765,"{'learning_rate': 0.061, 'max_depth': 4, 'n_estimators': 250, 'subsample': 0.748}",0.061,4.0,250.0,0.748,-1.214670164989233,learning_rate=0.061;max_depth=4;n_estimators=250;subsample=0.748,-0.0749,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_2,2,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,81,100,0.1847,0.1847,"{'learning_rate': 0.00109, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.955}",0.00109,2.0,400.0,0.955,-2.962573502059376,learning_rate=0.00109;max_depth=2;n_estimators=400;subsample=0.955,-0.0245,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_3,3,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,65,100,0.1027,0.1027,"{'learning_rate': 0.00783, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.925}",0.00783,3.0,150.0,0.925,-2.1062382379420566,learning_rate=0.00783;max_depth=3;n_estimators=150;subsample=0.925,-0.0042,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_4,4,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,93,100,0.1094,0.1094,"{'learning_rate': 0.0152, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.547}",0.0152,4.0,300.0,0.547,-1.8181564120552274,learning_rate=0.0152;max_depth=4;n_estimators=300;subsample=0.547,0.0251,Scores + Glide uncertainty,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,85,100,0.1569,0.1569,"{'learning_rate': 0.117, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.828}",0.117,7.0,300.0,0.828,-0.9318141382538383,learning_rate=0.117;max_depth=7;n_estimators=300;subsample=0.828,-0.0792,Scores + Ranks,Furin
furin,furin_random_kfold_cv_nested_tuning,outer_fold_1,1,method_scores_plus_method_ranks,xgboost,12,nested,spearman,62,100,0.1346,0.1346,"{'learning_rate': 0.00278, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.919}",0.00278,5.0,200.0,0.919,-2.555955204081924,learning_rate=0.00278;max_depth=5;n_estimators=200;subsample=0.919,-0.0149,Scores + Ranks,Furin
