dataset_label,dataset_display,id,observed_mean_pkd,predicted_mean_pkd,observed_worst_strain,observed_worst_strain_display,predicted_worst_strain,predicted_worst_strain_display,observed_worst_pkd,predicted_worst_pkd,observed_strain_range,predicted_strain_range,heatmap_row,label_pkd_ph1n1,pred_mean_ph1n1,residual_ph1n1,abs_error_ph1n1,label_pkd_h3n2,pred_mean_h3n2,residual_h3n2,abs_error_h3n2,label_pkd_h5n1,pred_mean_h5n1,residual_h5n1,abs_error_h5n1
na,NA,127-79-7,3.6306666666666665,3.7037333333333335,h3n2,H3N2,h3n2,H3N2,3.216,3.658,0.8659999999999997,0.12380000000000013,60,4.082,3.7818,0.3001999999999998,0.3001999999999998,3.216,3.658,-0.4419999999999997,0.4419999999999997,3.594,3.6714,-0.07740000000000036,0.07740000000000036
na,NA,96-50-4,3.303666666666667,3.473266666666667,h3n2,H3N2,h3n2,H3N2,3.0,3.3412,0.7480000000000002,0.2319,61,3.163,3.5055,-0.34250000000000025,0.34250000000000025,3.0,3.3412,-0.34120000000000017,0.34120000000000017,3.748,3.5731,0.17490000000000006,0.17490000000000006
na,NA,98-92-0,3.2769999999999997,3.5051666666666663,ph1n1,pH1N1,h3n2,H3N2,3.114,3.3631,0.363,0.3038999999999996,62,3.114,3.4854,-0.37139999999999995,0.37139999999999995,3.24,3.3631,-0.12309999999999999,0.12309999999999999,3.477,3.667,-0.18999999999999995,0.18999999999999995
pa,PA,319460-85-0,6.8486666666666665,5.870699999999999,h5n1,H5N1,h3n2,H3N2,6.558,5.4087,0.492,1.1100000000000003,1,7.05,6.5187,0.5312999999999999,0.5312999999999999,6.938,5.4087,1.5293,1.5293,6.558,5.6847,0.8732999999999995,0.8732999999999995
pa,PA,24729-96-2,6.704,6.084599999999999,ph1n1,pH1N1,h5n1,H5N1,6.523,5.3352,0.4300000000000006,1.5260999999999996,2,6.523,6.8613,-0.33830000000000027,0.33830000000000027,6.636,6.0573,0.5787000000000004,0.5787000000000004,6.953,5.3352,1.6178,1.6178
pa,PA,341031-54-7,6.650333333333333,5.972233333333333,ph1n1,pH1N1,ph1n1,pH1N1,6.385,5.7238,0.4240000000000004,0.7453000000000003,3,6.385,5.7238,0.6612,0.6612,6.757,6.4691,0.2878999999999996,0.2878999999999996,6.809,5.7238,1.0852000000000004,1.0852000000000004
pa,PA,112529-15-4,6.496333333333332,6.050366666666666,h5n1,H5N1,ph1n1,pH1N1,6.327,5.8891,0.3849999999999998,0.48379999999999956,4,6.712,5.8891,0.8228999999999997,0.8228999999999997,6.45,6.3729,0.07710000000000061,0.07710000000000061,6.327,5.8891,0.43789999999999996,0.43789999999999996
pa,PA,590-63-6,6.3999999999999995,4.788633333333333,ph1n1,pH1N1,ph1n1,pH1N1,6.31,4.3328,0.26500000000000057,1.3675000000000006,5,6.31,4.3328,1.9771999999999998,1.9771999999999998,6.315,5.7003,0.6147,0.6147,6.575,4.3328,2.2422000000000004,2.2422000000000004
pa,PA,60-56-0,6.367999999999999,5.761500000000001,h3n2,H3N2,h5n1,H5N1,5.877,5.7253,1.1020000000000003,0.05430000000000046,6,6.248,5.7796,0.4683999999999999,0.4683999999999999,5.877,5.7796,0.09739999999999949,0.09739999999999949,6.979,5.7253,1.2537000000000003,1.2537000000000003
pa,PA,269055-15-4,6.343666666666667,4.968933333333333,h5n1,H5N1,ph1n1,pH1N1,6.214,4.7667,0.23599999999999977,0.6067,7,6.367,4.7667,1.6002999999999998,1.6002999999999998,6.45,5.3734,1.0766,1.0766,6.214,4.7667,1.4473000000000003,1.4473000000000003
pa,PA,444731-52-6,6.296666666666667,6.013566666666667,h3n2,H3N2,ph1n1,pH1N1,6.16,5.9805,0.2629999999999999,0.09919999999999973,8,6.423,5.9805,0.4424999999999999,0.4424999999999999,6.16,5.9805,0.1795,0.1795,6.307,6.0797,0.2273000000000005,0.2273000000000005
pa,PA,33419-42-0,6.286666666666666,5.8674,h3n2,H3N2,ph1n1,pH1N1,6.128,5.2737,0.24800000000000022,0.9302000000000001,9,6.376,5.2737,1.1023000000000005,1.1023000000000005,6.128,6.1246,0.0034000000000000696,0.0034000000000000696,6.356,6.2039,0.1520999999999999,0.1520999999999999
pa,PA,56296-78-7,6.217666666666666,5.369033333333333,ph1n1,pH1N1,ph1n1,pH1N1,5.957,4.9813,0.5910000000000002,1.1631999999999998,10,5.957,4.9813,0.9756999999999998,0.9756999999999998,6.148,6.1445,0.0034999999999998366,0.0034999999999998366,6.548,4.9813,1.5667,1.5667
pa,PA,19767-45-4,6.174333333333333,5.657699999999999,h5n1,H5N1,ph1n1,pH1N1,5.845,5.3732,0.5720000000000001,0.45619999999999994,11,6.417,5.3732,1.0438,1.0438,6.261,5.7705,0.49049999999999994,0.49049999999999994,5.845,5.8294,0.015600000000000058,0.015600000000000058
pa,PA,77-86-1,6.1643333333333326,5.356766666666666,h5n1,H5N1,h5n1,H5N1,5.935,4.0578,0.3810000000000002,2.0230999999999995,12,6.242,5.9316,0.31039999999999957,0.31039999999999957,6.316,6.0809,0.2351000000000001,0.2351000000000001,5.935,4.0578,1.8771999999999993,1.8771999999999993
pa,PA,53885-35-1,6.154333333333334,5.196866666666667,h3n2,H3N2,ph1n1,pH1N1,5.847,4.8771,0.6449999999999996,0.9592999999999998,13,6.492,4.8771,1.6148999999999996,1.6148999999999996,5.847,5.8364,0.010600000000000165,0.010600000000000165,6.124,4.8771,1.2468999999999992,1.2468999999999992
pa,PA,120202-66-6,6.153,4.889433333333334,h5n1,H5N1,h3n2,H3N2,5.941,4.4371,0.5840000000000005,1.3570000000000002,14,5.993,5.7941,0.19890000000000008,0.19890000000000008,6.525,4.4371,2.0879000000000003,2.0879000000000003,5.941,4.4371,1.5038999999999998,1.5038999999999998
pa,PA,22260-51-1,6.098333333333334,5.5147,h3n2,H3N2,ph1n1,pH1N1,5.798,5.2513,0.7000000000000002,0.39510000000000023,15,5.999,5.2513,0.7477,0.7477,5.798,5.6464,0.15160000000000018,0.15160000000000018,6.498,5.6464,0.8516000000000004,0.8516000000000004
pa,PA,380843-75-4,6.068666666666666,4.913633333333333,h5n1,H5N1,ph1n1,pH1N1,5.936,4.4481,0.30100000000000016,1.3965999999999994,16,6.033,4.4481,1.5849000000000002,1.5849000000000002,6.237,5.8447,0.39230000000000054,0.39230000000000054,5.936,4.4481,1.4878999999999998,1.4878999999999998
pa,PA,5786-21-0,6.062,5.774,h3n2,H3N2,h5n1,H5N1,5.696,5.5827,0.7090000000000005,0.5544000000000002,17,6.405,5.6022,0.8028000000000004,0.8028000000000004,5.696,6.1371,-0.4411000000000005,0.4411000000000005,6.085,5.5827,0.5023,0.5023
pa,PA,162401-32-3,6.041666666666667,5.441933333333334,ph1n1,pH1N1,h3n2,H3N2,5.908,5.2832,0.2999999999999998,0.4762000000000004,18,5.908,5.7594,0.14860000000000007,0.14860000000000007,6.009,5.2832,0.7258000000000004,0.7258000000000004,6.208,5.2832,0.9248000000000003,0.9248000000000003
pa,PA,127-56-0,6.005666666666667,5.301233333333333,h5n1,H5N1,ph1n1,pH1N1,5.891,4.9216,0.21799999999999997,1.1389000000000005,19,6.017,4.9216,1.0954000000000006,1.0954000000000006,6.109,4.9216,1.1874000000000002,1.1874000000000002,5.891,6.0605,-0.1695000000000002,0.1695000000000002
pa,PA,1247-42-3,5.986666666666667,5.8323,h5n1,H5N1,h3n2,H3N2,5.662,5.6378,0.7830000000000004,0.5668999999999995,20,5.853,5.6544,0.1985999999999999,0.1985999999999999,6.445,5.6378,0.8071999999999999,0.8071999999999999,5.662,6.2047,-0.5427,0.5427
pa,PA,753498-25-8,5.867,5.498,h3n2,H3N2,ph1n1,pH1N1,5.438,5.324,0.8460000000000001,0.5220000000000002,21,6.284,5.324,0.96,0.96,5.438,5.846,-0.40800000000000036,0.40800000000000036,5.879,5.324,0.5549999999999997,0.5549999999999997
pa,PA,52-86-8,5.859999999999999,5.2787,h5n1,H5N1,ph1n1,pH1N1,5.708,4.9802,0.28500000000000014,0.6669999999999998,22,5.993,4.9802,1.0128000000000004,1.0128000000000004,5.879,5.6472,0.23179999999999978,0.23179999999999978,5.708,5.2087,0.49929999999999986,0.49929999999999986
pa,PA,446-86-6,5.824000000000001,5.746199999999999,h3n2,H3N2,ph1n1,pH1N1,5.159,5.4971,1.1740000000000004,0.4732000000000003,23,6.333,5.4971,0.8359000000000005,0.8359000000000005,5.159,5.9703,-0.8113000000000001,0.8113000000000001,5.98,5.7712,0.2088000000000001,0.2088000000000001
pa,PA,56211-40-6,5.810333333333333,5.445399999999999,ph1n1,pH1N1,ph1n1,pH1N1,5.521,5.2684,0.46799999999999997,0.5310000000000006,24,5.521,5.2684,0.25260000000000016,0.25260000000000016,5.921,5.7994,0.12159999999999993,0.12159999999999993,5.989,5.2684,0.7206000000000001,0.7206000000000001
