dataset_label,dataset_display,id,target_a,target_b,strain_a,strain_b,strain_a_display,strain_b_display,strain_pair,label_pkd_a,label_pkd_b,pred_mean_a,pred_mean_b,observed_delta_pkd,predicted_delta_pkd,observed_pair_divergence,predicted_pair_divergence,delta_residual,abs_delta_error,outer_fold_a,outer_fold_b
na,NA,135-07-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.365,5.796,4.8295,4.7801,-1.431,0.04940000000000033,1.431,0.04940000000000033,-1.4804000000000004,1.4804000000000004,3.0,1.0
na,NA,137-58-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.109,3.37,3.4279,3.6628,-0.2610000000000001,-0.23489999999999966,0.2610000000000001,0.23489999999999966,-0.026100000000000456,0.026100000000000456,2.0,1.0
na,NA,137234-62-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.019,3.685,3.8133,3.7634,0.3340000000000001,0.049900000000000055,0.3340000000000001,0.049900000000000055,0.2841,0.2841,0.0,3.0
na,NA,138530-94-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.912,3.821,4.1833,4.0865,0.09099999999999975,0.0968,0.09099999999999975,0.0968,-0.005800000000000249,0.005800000000000249,0.0,3.0
na,NA,139264-17-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.431,4.053,4.4474,4.0718,0.3780000000000001,0.3756000000000004,0.3780000000000001,0.3756000000000004,0.0023999999999997357,0.0023999999999997357,1.0,1.0
na,NA,140-40-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.73,3.675,3.8413,3.6668,0.05500000000000016,0.1745000000000001,0.05500000000000016,0.1745000000000001,-0.11949999999999994,0.11949999999999994,3.0,1.0
na,NA,1400-61-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.376,6.002,6.2965,6.4426,0.37400000000000055,-0.14609999999999967,0.37400000000000055,0.14609999999999967,0.5201000000000002,0.5201000000000002,3.0,3.0
na,NA,140462-76-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.883,3.647,4.4967,4.3695,0.2360000000000002,0.1271999999999993,0.2360000000000002,0.1271999999999993,0.1088000000000009,0.1088000000000009,1.0,3.0
na,NA,1405-10-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.405,6.316,6.0223,6.0298,0.08900000000000041,-0.007499999999999396,0.08900000000000041,0.007499999999999396,0.09649999999999981,0.09649999999999981,0.0,0.0
na,NA,141625-93-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.376,4.76,5.3894,4.9702,0.6160000000000005,0.4192,0.6160000000000005,0.4192,0.19680000000000053,0.19680000000000053,0.0,1.0
na,NA,144689-63-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.235,4.51,5.6607,4.5491,1.7250000000000005,1.1116000000000001,1.7250000000000005,1.1116000000000001,0.6134000000000004,0.6134000000000004,3.0,2.0
na,NA,147-94-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.879,4.325,4.4557,4.6843,0.5539999999999994,-0.22860000000000014,0.5539999999999994,0.22860000000000014,0.7825999999999995,0.7825999999999995,3.0,1.0
na,NA,147526-32-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.24,4.954,5.7153,5.0576,0.2860000000000005,0.6577000000000002,0.2860000000000005,0.6577000000000002,-0.3716999999999997,0.3716999999999997,2.0,3.0
na,NA,14919-77-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.193,5.921,5.3628,5.678,-0.7280000000000006,-0.3151999999999999,0.7280000000000006,0.3151999999999999,-0.4128000000000007,0.4128000000000007,4.0,1.0
na,NA,150-76-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.511,4.542,4.4159,4.1648,-0.030999999999999694,0.2511000000000001,0.030999999999999694,0.2511000000000001,-0.2820999999999998,0.2820999999999998,3.0,4.0
na,NA,150322-43-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.663,3.441,4.3988,3.8497,1.2220000000000004,0.5490999999999997,1.2220000000000004,0.5490999999999997,0.6729000000000007,0.6729000000000007,2.0,1.0
na,NA,152459-95-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.177,4.442,4.8165,4.1986,0.7349999999999994,0.6178999999999997,0.7349999999999994,0.6178999999999997,0.11709999999999976,0.11709999999999976,2.0,1.0
na,NA,154229-18-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.853,4.402,4.2717,4.023,0.4509999999999996,0.24870000000000037,0.4509999999999996,0.24870000000000037,0.20229999999999926,0.20229999999999926,3.0,0.0
na,NA,156-54-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.496,3.497,3.3366,3.3406,-0.0009999999999998899,-0.0040000000000000036,0.0009999999999998899,0.0040000000000000036,0.0030000000000001137,0.0030000000000001137,2.0,0.0
na,NA,15686-71-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.956,5.448,5.3483,5.2343,-0.492,0.11399999999999988,0.492,0.11399999999999988,-0.6059999999999999,0.6059999999999999,3.0,2.0
na,NA,156897-06-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.115,5.688,5.0726,5.2857,-0.5729999999999995,-0.21309999999999985,0.5729999999999995,0.21309999999999985,-0.35989999999999966,0.35989999999999966,4.0,2.0
na,NA,160970-54-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.246,4.3,4.4839,4.2001,-0.05399999999999938,0.2838000000000003,0.05399999999999938,0.2838000000000003,-0.33779999999999966,0.33779999999999966,0.0,4.0
na,NA,164656-23-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.232,4.021,4.2401,4.0921,0.2110000000000003,0.1479999999999997,0.2110000000000003,0.1479999999999997,0.06300000000000061,0.06300000000000061,2.0,3.0
na,NA,16595-80-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.211,3.502,3.5288,3.496,-0.2909999999999999,0.03279999999999994,0.2909999999999999,0.03279999999999994,-0.32379999999999987,0.32379999999999987,0.0,0.0
na,NA,168273-06-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.249,4.327,4.1243,4.0022,-0.07800000000000029,0.12209999999999965,0.07800000000000029,0.12209999999999965,-0.20009999999999994,0.20009999999999994,0.0,1.0
na,NA,1684-40-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.498,4.541,4.5885,4.6381,-0.04300000000000015,-0.049599999999999866,0.04300000000000015,0.049599999999999866,0.006599999999999717,0.006599999999999717,4.0,3.0
na,NA,169590-42-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.879,4.234,4.936,4.3484,0.6449999999999996,0.5876000000000001,0.6449999999999996,0.5876000000000001,0.05739999999999945,0.05739999999999945,2.0,3.0
na,NA,17780-75-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.497,4.411,4.2629,4.1347,0.0860000000000003,0.12820000000000054,0.0860000000000003,0.12820000000000054,-0.04220000000000024,0.04220000000000024,2.0,3.0
na,NA,181183-52-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.489,3.147,4.1966,3.6769,1.342,0.5197000000000003,1.342,0.5197000000000003,0.8222999999999998,0.8222999999999998,3.0,0.0
na,NA,181695-72-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.497,4.428,4.7701,4.7179,0.06899999999999995,0.052200000000000024,0.06899999999999995,0.052200000000000024,0.016799999999999926,0.016799999999999926,1.0,2.0
na,NA,183133-96-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.554,4.781,5.0517,4.9498,-0.22699999999999942,0.10190000000000055,0.22699999999999942,0.10190000000000055,-0.32889999999999997,0.32889999999999997,1.0,0.0
na,NA,19356-17-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.927,4.591,4.9678,4.5537,0.3359999999999994,0.41410000000000036,0.3359999999999994,0.41410000000000036,-0.07810000000000095,0.07810000000000095,3.0,3.0
na,NA,202138-50-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.28,5.521,4.8582,5.1567,-1.2409999999999997,-0.29849999999999977,1.2409999999999997,0.29849999999999977,-0.9424999999999999,0.9424999999999999,4.0,3.0
na,NA,2022-85-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.31,3.957,3.5424,3.546,-0.6469999999999998,-0.0035999999999996035,0.6469999999999998,0.0035999999999996035,-0.6434000000000002,0.6434000000000002,2.0,2.0
na,NA,20559-55-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.27,4.059,3.5899,3.7619,-0.7890000000000001,-0.1719999999999997,0.7890000000000001,0.1719999999999997,-0.6170000000000004,0.6170000000000004,1.0,4.0
na,NA,2152-44-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.629,5.1,4.3385,4.8975,-0.4710000000000001,-0.5590000000000002,0.4710000000000001,0.5590000000000002,0.08800000000000008,0.08800000000000008,1.0,2.0
na,NA,2192-20-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.712,4.123,4.8106,4.0835,0.5889999999999995,0.7271000000000001,0.5889999999999995,0.7271000000000001,-0.13810000000000056,0.13810000000000056,0.0,2.0
na,NA,22232-54-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.089,3.543,3.4397,3.2461,-0.4540000000000002,0.1936,0.4540000000000002,0.1936,-0.6476000000000002,0.6476000000000002,3.0,3.0
na,NA,224452-66-8,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.037,4.884,4.7803,4.9126,-0.8470000000000004,-0.13229999999999986,0.8470000000000004,0.13229999999999986,-0.7147000000000006,0.7147000000000006,3.0,2.0
na,NA,23076-35-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.706,3.824,3.6357,4.0261,-0.11799999999999988,-0.39039999999999964,0.11799999999999988,0.39039999999999964,0.27239999999999975,0.27239999999999975,0.0,3.0
na,NA,2353-33-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.183,4.39,3.8631,4.1497,-0.20699999999999985,-0.28659999999999997,0.20699999999999985,0.28659999999999997,0.07960000000000012,0.07960000000000012,1.0,1.0
na,NA,23674-86-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.704,4.597,4.0306,4.8149,-0.8930000000000002,-0.7843,0.8930000000000002,0.7843,-0.10870000000000024,0.10870000000000024,3.0,4.0
na,NA,2438-72-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.319,3.36,3.6441,3.3159,-0.040999999999999925,0.3281999999999998,0.040999999999999925,0.3281999999999998,-0.36919999999999975,0.36919999999999975,4.0,2.0
na,NA,24729-96-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.242,4.521,5.4236,5.0532,1.721,0.37040000000000006,1.721,0.37040000000000006,1.3506,1.3506,0.0,3.0
na,NA,269055-15-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.508,4.272,4.0257,3.9603,-0.7640000000000002,0.06539999999999946,0.7640000000000002,0.06539999999999946,-0.8293999999999997,0.8293999999999997,1.0,3.0
na,NA,27741-01-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.175,5.438,5.3615,5.2368,-0.2629999999999999,0.1247000000000007,0.2629999999999999,0.1247000000000007,-0.3877000000000006,0.3877000000000006,3.0,4.0
na,NA,28395-03-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.638,6.16,5.6452,5.3086,-0.5220000000000002,0.3365999999999998,0.5220000000000002,0.3365999999999998,-0.8586,0.8586,0.0,0.0
na,NA,30516-87-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.944,4.471,4.1903,4.3581,-0.5270000000000001,-0.16780000000000062,0.5270000000000001,0.16780000000000062,-0.3591999999999995,0.3591999999999995,0.0,1.0
na,NA,30652-11-0,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.972,3.896,3.7889,3.7983,0.07600000000000007,-0.009399999999999853,0.07600000000000007,0.009399999999999853,0.08539999999999992,0.08539999999999992,0.0,1.0
na,NA,3094-09-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.945,4.162,4.0662,3.9597,-0.21700000000000008,0.10650000000000004,0.21700000000000008,0.10650000000000004,-0.3235000000000001,0.3235000000000001,0.0,2.0
na,NA,320-67-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.945,4.569,4.0169,4.4679,-0.6240000000000001,-0.4510000000000005,0.6240000000000001,0.4510000000000005,-0.1729999999999996,0.1729999999999996,4.0,0.0
na,NA,33342-05-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.862,4.368,4.0825,4.331,-0.5060000000000002,-0.24850000000000083,0.5060000000000002,0.24850000000000083,-0.2574999999999994,0.2574999999999994,4.0,2.0
na,NA,34183-22-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.768,5.295,4.727,4.9725,-0.5270000000000001,-0.24549999999999983,0.5270000000000001,0.24549999999999983,-0.2815000000000003,0.2815000000000003,1.0,0.0
na,NA,3424-98-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.29,5.252,4.6259,4.7463,-0.9619999999999997,-0.12040000000000006,0.9619999999999997,0.12040000000000006,-0.8415999999999997,0.8415999999999997,3.0,3.0
na,NA,34597-40-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.217,3.793,4.1321,3.8502,0.4239999999999995,0.28190000000000026,0.4239999999999995,0.28190000000000026,0.14209999999999923,0.14209999999999923,0.0,3.0
na,NA,35543-24-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.57,4.176,3.8863,3.9971,-0.6060000000000003,-0.11080000000000023,0.6060000000000003,0.11080000000000023,-0.4952000000000001,0.4952000000000001,2.0,4.0
na,NA,367514-88-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.8,3.63,3.9542,3.8557,0.16999999999999993,0.09850000000000003,0.16999999999999993,0.09850000000000003,0.0714999999999999,0.0714999999999999,2.0,4.0
na,NA,3717-88-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.492,3.794,3.854,3.8905,-0.30200000000000005,-0.036499999999999755,0.30200000000000005,0.036499999999999755,-0.2655000000000003,0.2655000000000003,4.0,2.0
na,NA,375815-87-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.164,5.277,5.321,5.5607,-0.11300000000000043,-0.23970000000000002,0.11300000000000043,0.23970000000000002,0.1266999999999996,0.1266999999999996,3.0,4.0
na,NA,405165-61-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.131,5.22,4.2447,4.9151,-1.0889999999999995,-0.6703999999999999,1.0889999999999995,0.6703999999999999,-0.41859999999999964,0.41859999999999964,2.0,4.0
na,NA,444731-52-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.656,3.244,4.1657,3.8301,0.4119999999999999,0.33560000000000034,0.4119999999999999,0.33560000000000034,0.07639999999999958,0.07639999999999958,2.0,2.0
na,NA,446-86-6,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.109,4.304,3.9749,4.1139,-0.19500000000000028,-0.13900000000000023,0.19500000000000028,0.13900000000000023,-0.05600000000000005,0.05600000000000005,0.0,1.0
na,NA,4759-48-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.862,5.461,5.2931,5.3266,-0.5990000000000002,-0.033500000000000085,0.5990000000000002,0.033500000000000085,-0.5655000000000001,0.5655000000000001,4.0,1.0
na,NA,498-45-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.61,3.767,3.9334,3.9102,-0.15700000000000003,0.023199999999999665,0.15700000000000003,0.023199999999999665,-0.1801999999999997,0.1801999999999997,0.0,1.0
na,NA,4991-65-5,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.972,3.548,3.9077,3.5641,0.42399999999999993,0.34360000000000035,0.42399999999999993,0.34360000000000035,0.08039999999999958,0.08039999999999958,0.0,2.0
na,NA,50-28-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.017,5.828,5.5054,5.5679,0.18900000000000006,-0.0625,0.18900000000000006,0.0625,0.25150000000000006,0.25150000000000006,4.0,3.0
na,NA,50-33-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.767,3.427,3.9925,3.3455,0.33999999999999986,0.6470000000000002,0.33999999999999986,0.6470000000000002,-0.3070000000000004,0.3070000000000004,2.0,0.0
na,NA,50-91-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.233,3.991,4.3418,4.3162,0.24199999999999955,0.025599999999999845,0.24199999999999955,0.025599999999999845,0.2163999999999997,0.2163999999999997,3.0,1.0
na,NA,50-99-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,3.918,4.007,4.4041,4.4325,-0.08899999999999952,-0.028400000000000425,0.08899999999999952,0.028400000000000425,-0.0605999999999991,0.0605999999999991,2.0,4.0
na,NA,50264-69-2,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.184,4.37,4.4355,4.7094,-0.18599999999999994,-0.27389999999999937,0.18599999999999994,0.27389999999999937,0.08789999999999942,0.08789999999999942,3.0,0.0
na,NA,50357-45-4,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.226,4.018,4.4868,4.2865,0.20800000000000018,0.20029999999999948,0.20800000000000018,0.20029999999999948,0.007700000000000706,0.007700000000000706,0.0,2.0
na,NA,503612-47-3,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,5.337,4.136,4.5483,4.0374,1.2009999999999996,0.5109000000000004,1.2009999999999996,0.5109000000000004,0.6900999999999993,0.6900999999999993,0.0,4.0
na,NA,51-48-9,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,6.712,6.009,6.4181,5.8674,0.7029999999999994,0.5507,0.7029999999999994,0.5507,0.15229999999999944,0.15229999999999944,2.0,1.0
na,NA,518048-05-0,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.611,4.067,5.0737,4.3424,0.5439999999999996,0.7313000000000001,0.5439999999999996,0.7313000000000001,-0.18730000000000047,0.18730000000000047,3.0,0.0
na,NA,52-21-1,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.838,5.154,4.6923,4.4166,-0.31599999999999984,0.2757000000000005,0.31599999999999984,0.2757000000000005,-0.5917000000000003,0.5917000000000003,4.0,0.0
na,NA,522-51-0,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.679,5.081,4.9371,4.4194,-0.40200000000000014,0.5176999999999996,0.40200000000000014,0.5176999999999996,-0.9196999999999997,0.9196999999999997,4.0,0.0
na,NA,53716-49-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.438,4.535,4.8007,4.4112,-0.09700000000000042,0.38949999999999996,0.09700000000000042,0.38949999999999996,-0.4865000000000004,0.4865000000000004,3.0,1.0
na,NA,54-21-7,na_ph1n1,na_h3n2,ph1n1,h3n2,pH1N1,H3N2,pH1N1 - H3N2,4.412,4.081,4.3336,4.4721,0.3309999999999995,-0.1385000000000005,0.3309999999999995,0.1385000000000005,0.46950000000000003,0.46950000000000003,1.0,3.0
