dataset_label,dataset_display,disagreement_column,disagreement_bin,n,disagreement_min,disagreement_q25,disagreement_median,disagreement_q75,disagreement_max,residual_q25,residual_median,residual_q75,abs_error_q25,abs_error_median,abs_error_q75
furin,Furin,branch_rank_sd,7,30,0.2396,0.252525,0.2584,0.2633,0.2707,-0.7072749999999999,-0.15784999999999982,0.39514999999999967,0.3701749999999999,0.5596000000000005,0.8772999999999999
furin,Furin,branch_rank_sd,8,30,0.275,0.28075,0.2908,0.3008,0.3118,-0.3244,0.09724999999999984,0.7082999999999997,0.31772500000000004,0.42664999999999953,0.83955
furin,Furin,branch_rank_sd,9,30,0.3152,0.3227,0.33240000000000003,0.342,0.3529,-0.58155,-0.09699999999999953,0.18102499999999933,0.13847499999999946,0.4671500000000002,0.8451250000000001
furin,Furin,branch_rank_sd,10,30,0.356,0.3708,0.3889,0.41295,0.5366,-0.7035749999999997,-0.05469999999999997,0.5919999999999999,0.39385000000000026,0.62595,1.0096749999999999
na,NA,branch_rank_sd,1,124,0.0104,0.043875,0.0556,0.069325,0.0771,-0.21807500000000024,-0.05229999999999979,0.23457500000000042,0.10744999999999971,0.22255000000000003,0.3354750000000002
na,NA,branch_rank_sd,2,124,0.0771,0.087725,0.0942,0.10425000000000001,0.1105,-0.24892500000000006,-0.029949999999999477,0.17749999999999988,0.11155000000000004,0.21050000000000013,0.3445999999999998
na,NA,branch_rank_sd,3,123,0.1107,0.11779999999999999,0.1236,0.12965,0.1353,-0.2369000000000001,-0.014499999999999957,0.17900000000000005,0.1104999999999996,0.2190000000000003,0.36040000000000005
na,NA,branch_rank_sd,4,124,0.1355,0.14227499999999998,0.15,0.1549,0.1614,-0.13074999999999992,0.043150000000000244,0.21489999999999998,0.07880000000000031,0.2003499999999998,0.3464999999999998
na,NA,branch_rank_sd,5,123,0.1614,0.16835,0.1734,0.1794,0.1866,-0.2175499999999997,-0.010299999999999976,0.20484999999999998,0.11555000000000004,0.21229999999999993,0.3277000000000001
na,NA,branch_rank_sd,6,124,0.1868,0.192675,0.20095000000000002,0.2076,0.2141,-0.17857500000000004,-0.01179999999999981,0.20440000000000036,0.11272499999999974,0.19439999999999968,0.31245000000000045
na,NA,branch_rank_sd,7,123,0.2141,0.22010000000000002,0.2263,0.23415000000000002,0.2424,-0.17179999999999995,0.03669999999999973,0.23845000000000027,0.09040000000000026,0.21329999999999982,0.3403499999999997
na,NA,branch_rank_sd,8,124,0.2425,0.2497,0.25695,0.2678,0.2787,-0.24209999999999987,-0.05349999999999988,0.2293750000000001,0.12644999999999995,0.23965000000000014,0.3708250000000004
na,NA,branch_rank_sd,9,123,0.279,0.2903,0.3003,0.31135,0.3243,-0.19169999999999998,0.029300000000000104,0.2302499999999994,0.09034999999999993,0.2041000000000004,0.3598000000000001
na,NA,branch_rank_sd,10,124,0.3247,0.33530000000000004,0.35824999999999996,0.393625,0.4529,-0.23842499999999978,-0.01134999999999975,0.16202499999999942,0.09764999999999979,0.21245000000000003,0.35552499999999987
pa,PA,branch_rank_sd,1,124,0.0107,0.032825,0.0463,0.058725,0.0676,-0.3056500000000002,0.0050000000000003375,0.32742499999999986,0.129,0.31115000000000004,0.6007250000000001
pa,PA,branch_rank_sd,2,123,0.0681,0.07880000000000001,0.0885,0.0963,0.1051,-0.35824999999999974,0.03839999999999977,0.37869999999999937,0.18589999999999973,0.3743999999999996,0.6899
pa,PA,branch_rank_sd,3,123,0.1053,0.11285,0.1172,0.12495,0.1308,-0.5092500000000002,-0.0688999999999993,0.2988999999999997,0.15339999999999954,0.4266999999999994,0.7187000000000003
pa,PA,branch_rank_sd,4,123,0.1308,0.13715,0.1432,0.15045,0.1577,-0.3804000000000003,-0.019700000000000273,0.26054999999999984,0.1711499999999999,0.3498999999999999,0.5406499999999999
pa,PA,branch_rank_sd,5,124,0.1577,0.16267500000000001,0.1691,0.1749,0.1805,-0.3889499999999998,-0.11510000000000042,0.2724749999999997,0.17895000000000016,0.3317000000000001,0.56345
pa,PA,branch_rank_sd,6,123,0.1807,0.1878,0.1938,0.2013,0.2087,-0.39674999999999994,-0.04479999999999951,0.2390500000000002,0.15500000000000025,0.32099999999999973,0.6527499999999999
pa,PA,branch_rank_sd,7,123,0.2088,0.21675,0.2249,0.2338,0.2407,-0.36280000000000023,-0.052000000000000046,0.19449999999999967,0.1428999999999998,0.32650000000000023,0.5814500000000002
pa,PA,branch_rank_sd,8,123,0.2408,0.2479,0.2551,0.2664,0.2789,-0.4433999999999998,-0.06550000000000011,0.2547499999999996,0.1511499999999999,0.3634000000000004,0.6568999999999998
pa,PA,branch_rank_sd,9,123,0.2792,0.28875,0.3039,0.31655,0.3324,-0.2741499999999999,0.023900000000000254,0.3891500000000001,0.15304999999999946,0.31810000000000027,0.5759999999999998
pa,PA,branch_rank_sd,10,124,0.3326,0.347575,0.36615,0.399625,0.4867,-0.4001499999999999,0.025599999999999845,0.3161749999999999,0.14674999999999994,0.3634500000000003,0.5781999999999998
