dataset_label,dataset_display,id,predicted_mean_pkd,predicted_middle_pkd,predicted_max_pkd,worst_strain,worst_strain_display,worst_strain_pred_pkd,predicted_strain_range,in_experimental_data_any,pred_mean_ph1n1,pred_mean_h3n2,pred_mean_h5n1
na,NA,6035-45-6,5.847966666666667,5.8541,5.9649,h5n1,H5N1,5.7249,0.2400000000000002,1,5.8541,5.9649,5.7249
na,NA,59-05-2,5.924133333333334,5.9971,6.085,h5n1,H5N1,5.6903,0.3947000000000003,0,6.085,5.9971,5.6903
na,NA,146464-95-1,5.8411,5.8921,5.9443,h3n2,H3N2,5.6869,0.2574000000000005,0,5.9443,5.6869,5.8921
na,NA,3810-74-0,5.958099999999999,6.0694,6.1268,h3n2,H3N2,5.6781,0.44870000000000054,0,6.0694,5.6781,6.1268
na,NA,71610-00-9,5.7860000000000005,5.6884,5.9945,h5n1,H5N1,5.6751,0.3194000000000008,1,5.9945,5.6884,5.6751
na,NA,179463-17-3,5.713633333333333,5.7401,5.7467,h5n1,H5N1,5.6541,0.09260000000000002,0,5.7401,5.7467,5.6541
na,NA,121123-17-9,5.779633333333333,5.7452,5.9529,ph1n1,pH1N1,5.6408,0.31210000000000004,1,5.6408,5.9529,5.7452
na,NA,668270-12-0,5.971666666666667,6.1343,6.1562,h3n2,H3N2,5.6245,0.5316999999999998,1,6.1562,5.6245,6.1343
na,NA,70476-82-3,5.781333333333333,5.7829,5.9371,h3n2,H3N2,5.624,0.3131000000000004,0,5.7829,5.624,5.9371
na,NA,50-28-2,5.867766666666667,5.8818,6.1145,ph1n1,pH1N1,5.607,0.5074999999999994,1,5.607,5.8818,6.1145
na,NA,129497-78-5,5.8557999999999995,5.6657,6.2995,ph1n1,pH1N1,5.6022,0.6973000000000003,1,5.6022,6.2995,5.6657
na,NA,265121-04-8,5.860466666666667,5.8107,6.176,ph1n1,pH1N1,5.5947,0.5813000000000006,1,5.5947,5.8107,6.176
na,NA,114977-28-5,5.87,5.7542,6.2673,ph1n1,pH1N1,5.5885,0.6787999999999998,0,5.5885,6.2673,5.7542
na,NA,155213-67-5,5.854566666666667,5.6645,6.313,h3n2,H3N2,5.5862,0.7267999999999999,1,5.6645,5.5862,6.313
na,NA,22457-89-2,5.643066666666667,5.6174,5.7281,ph1n1,pH1N1,5.5837,0.14440000000000008,0,5.5837,5.6174,5.7281
na,NA,162635-04-3,5.788166666666666,5.8773,5.9092,ph1n1,pH1N1,5.578,0.33119999999999994,1,5.578,5.9092,5.8773
na,NA,22573-93-9,5.5822,5.5771,5.6274,ph1n1,pH1N1,5.5421,0.08530000000000015,1,5.5421,5.6274,5.5771
na,NA,56038-13-2,5.664866666666666,5.6798,5.7792,ph1n1,pH1N1,5.5356,0.2436000000000007,0,5.5356,5.6798,5.7792
na,NA,83915-83-7,5.7041,5.6674,5.9194,h5n1,H5N1,5.5255,0.39390000000000036,0,5.6674,5.9194,5.5255
na,NA,150399-23-8,6.128333333333334,6.3562,6.5046,h3n2,H3N2,5.5242,0.9803999999999995,0,6.5046,5.5242,6.3562
na,NA,78110-38-0,5.662466666666667,5.7108,5.7696,h5n1,H5N1,5.507,0.26259999999999994,1,5.7108,5.7696,5.507
na,NA,52-86-8,5.851,5.7935,6.2543,ph1n1,pH1N1,5.5052,0.7490999999999994,0,5.5052,5.7935,6.2543
na,NA,13614-98-7,5.479500000000001,5.473,5.496,ph1n1,pH1N1,5.4695,0.026500000000000412,1,5.4695,5.496,5.473
na,NA,64-75-5,5.678366666666666,5.7352,5.838,h3n2,H3N2,5.4619,0.3761000000000001,1,5.7352,5.4619,5.838
na,NA,27741-01-1,5.559266666666667,5.4697,5.7495,h3n2,H3N2,5.4586,0.2909000000000006,1,5.4697,5.4586,5.7495
na,NA,14919-77-8,5.637533333333333,5.6758,5.7839,ph1n1,pH1N1,5.4529,0.3310000000000004,1,5.4529,5.7839,5.6758
na,NA,220620-09-7,5.740833333333334,5.7935,5.9893,h5n1,H5N1,5.4397,0.5495999999999999,1,5.7935,5.9893,5.4397
na,NA,62893-19-0,5.670966666666668,5.5155,6.0677,h3n2,H3N2,5.4297,0.6379999999999999,1,5.5155,5.4297,6.0677
na,NA,50-27-1,5.450466666666666,5.4309,5.5127,ph1n1,pH1N1,5.4078,0.10489999999999977,1,5.4078,5.4309,5.5127
na,NA,122795-43-1,5.546366666666667,5.5919,5.6644,h5n1,H5N1,5.3828,0.2816000000000001,0,5.6644,5.5919,5.3828
na,NA,745-65-3,5.548033333333334,5.5894,5.684,h3n2,H3N2,5.3707,0.3132999999999999,1,5.5894,5.3707,5.684
na,NA,82640-04-8,5.6568,5.6821,5.9183,h3n2,H3N2,5.37,0.5483000000000002,1,5.9183,5.37,5.6821
na,NA,90274-24-1,5.546266666666667,5.476,5.7986,h3n2,H3N2,5.3642,0.4344000000000001,1,5.7986,5.3642,5.476
na,NA,6054-98-4,5.4985,5.4077,5.7301,h3n2,H3N2,5.3577,0.37239999999999984,1,5.4077,5.3577,5.7301
na,NA,51022-70-9,5.5191333333333334,5.4332,5.7722,ph1n1,pH1N1,5.352,0.42019999999999946,1,5.352,5.4332,5.7722
na,NA,74863-84-6,5.387533333333333,5.3599,5.4512,h5n1,H5N1,5.3515,0.09970000000000034,1,5.3599,5.4512,5.3515
na,NA,4759-48-2,5.467099999999999,5.4129,5.6492,ph1n1,pH1N1,5.3392,0.3100000000000005,1,5.3392,5.4129,5.6492
na,NA,1405-87-4,5.601466666666667,5.4304,6.035,ph1n1,pH1N1,5.339,0.6959999999999997,1,5.339,6.035,5.4304
na,NA,57852-57-0,5.669566666666667,5.8229,5.8593,h3n2,H3N2,5.3265,0.5327999999999999,1,5.8229,5.3265,5.8593
na,NA,74610-55-2,5.593966666666667,5.3196,6.1432,h5n1,H5N1,5.3191,0.8241000000000005,1,5.3196,6.1432,5.3191
na,NA,402957-28-2,5.5203999999999995,5.5272,5.7176,ph1n1,pH1N1,5.3164,0.4012000000000002,1,5.3164,5.7176,5.5272
na,NA,89226-50-6,5.512133333333334,5.4792,5.7425,h3n2,H3N2,5.3147,0.4277999999999995,1,5.7425,5.3147,5.4792
na,NA,83480-29-9,5.476966666666667,5.4579,5.6771,ph1n1,pH1N1,5.2959,0.38120000000000065,0,5.2959,5.4579,5.6771
na,NA,75607-67-9,5.365733333333334,5.3666,5.4436,h3n2,H3N2,5.287,0.15660000000000007,1,5.3666,5.287,5.4436
na,NA,96946-42-8,5.693566666666666,5.8891,5.9073,h3n2,H3N2,5.2843,0.6230000000000002,1,5.8891,5.2843,5.9073
na,NA,28395-03-1,5.625399999999999,5.5322,6.0602,h3n2,H3N2,5.2838,0.7763999999999998,1,5.5322,5.2838,6.0602
na,NA,375815-87-5,5.524799999999999,5.6164,5.6812,ph1n1,pH1N1,5.2768,0.40439999999999987,1,5.2768,5.6812,5.6164
na,NA,51-30-9,5.337266666666667,5.34,5.4167,h3n2,H3N2,5.2551,0.16159999999999997,1,5.4167,5.2551,5.34
na,NA,61379-65-5,5.4578999999999995,5.3052,5.8169,h3n2,H3N2,5.2516,0.5653000000000006,0,5.8169,5.2516,5.3052
na,NA,57248-88-1,5.610333333333333,5.6968,5.8838,ph1n1,pH1N1,5.2504,0.6334,0,5.2504,5.8838,5.6968
na,NA,458-37-7,5.5536,5.3654,6.0452,h3n2,H3N2,5.2502,0.7949999999999999,0,5.3654,5.2502,6.0452
na,NA,25316-40-9,5.4516,5.4722,5.6437,h3n2,H3N2,5.2389,0.4047999999999998,1,5.6437,5.2389,5.4722
na,NA,599-79-1,5.605366666666666,5.5873,5.9932,h3n2,H3N2,5.2356,0.7576,0,5.9932,5.2356,5.5873
na,NA,32986-56-4,5.3378000000000005,5.2407,5.5601,h5n1,H5N1,5.2126,0.34750000000000014,1,5.2407,5.5601,5.2126
na,NA,82586-52-5,5.521833333333333,5.654,5.6991,ph1n1,pH1N1,5.2124,0.4866999999999999,1,5.2124,5.6991,5.654
na,NA,1119-34-2,5.474799999999999,5.527,5.6884,ph1n1,pH1N1,5.209,0.47940000000000005,1,5.209,5.6884,5.527
na,NA,123524-52-7,5.506666666666667,5.6223,5.6949,h5n1,H5N1,5.2028,0.49209999999999976,1,5.6223,5.6949,5.2028
na,NA,23541-50-6,5.367966666666668,5.4355,5.4764,ph1n1,pH1N1,5.192,0.28439999999999976,1,5.192,5.4355,5.4764
na,NA,152520-56-4,5.565300000000001,5.7134,5.7907,h3n2,H3N2,5.1918,0.5989000000000004,1,5.7134,5.1918,5.7907
na,NA,117467-28-4,5.597333333333334,5.7234,5.8769,h3n2,H3N2,5.1917,0.6852,1,5.8769,5.1917,5.7234
na,NA,873054-44-5,5.509433333333333,5.4568,5.8861,h3n2,H3N2,5.1854,0.7007000000000003,1,5.4568,5.1854,5.8861
na,NA,134523-03-8,5.480633333333333,5.6163,5.6548,ph1n1,pH1N1,5.1708,0.484,1,5.1708,5.6163,5.6548
na,NA,859-18-7,5.2343,5.2019,5.3359,ph1n1,pH1N1,5.1651,0.17079999999999984,1,5.1651,5.2019,5.3359
na,NA,142340-99-6,5.321333333333334,5.3239,5.4767,ph1n1,pH1N1,5.1634,0.3132999999999999,0,5.1634,5.3239,5.4767
na,NA,15686-71-2,5.287533333333333,5.2724,5.4281,h5n1,H5N1,5.1621,0.266,1,5.2724,5.4281,5.1621
na,NA,43229-80-7,5.331033333333333,5.2931,5.5391,ph1n1,pH1N1,5.1609,0.37820000000000054,1,5.1609,5.5391,5.2931
na,NA,18323-44-9,5.4161,5.3937,5.6999,h3n2,H3N2,5.1547,0.5452000000000004,0,5.6999,5.1547,5.3937
na,NA,84625-61-6,5.359566666666667,5.4371,5.4951,h3n2,H3N2,5.1465,0.34860000000000024,1,5.4951,5.1465,5.4371
na,NA,110221-44-8,5.4144000000000005,5.4904,5.6074,h3n2,H3N2,5.1454,0.46199999999999974,1,5.4904,5.1454,5.6074
na,NA,115436-72-1,5.2909,5.2029,5.5334,ph1n1,pH1N1,5.1364,0.39700000000000024,1,5.1364,5.2029,5.5334
na,NA,753498-25-8,5.2049666666666665,5.2165,5.2689,ph1n1,pH1N1,5.1295,0.1394000000000002,1,5.1295,5.2165,5.2689
na,NA,110078-46-1,5.195966666666667,5.2137,5.25,ph1n1,pH1N1,5.1242,0.1257999999999999,1,5.1242,5.25,5.2137
na,NA,153439-40-8,5.4128,5.5392,5.5754,h5n1,H5N1,5.1238,0.4516,1,5.5754,5.5392,5.1238
na,NA,134308-13-7,5.210733333333334,5.1683,5.344,ph1n1,pH1N1,5.1199,0.22409999999999997,1,5.1199,5.1683,5.344
na,NA,105462-24-6,5.2917,5.2324,5.531,ph1n1,pH1N1,5.1117,0.4192999999999998,0,5.1117,5.2324,5.531
na,NA,89396-94-1,5.4258999999999995,5.579,5.5909,h3n2,H3N2,5.1078,0.4831000000000003,0,5.579,5.1078,5.5909
na,NA,987-65-5,5.175066666666667,5.1673,5.2528,ph1n1,pH1N1,5.1051,0.1476999999999995,1,5.1051,5.1673,5.2528
na,NA,5874-97-5,5.2967,5.255,5.5313,h5n1,H5N1,5.1038,0.4275000000000002,1,5.5313,5.255,5.1038
na,NA,501-36-0,5.78,6.0808,6.1589,h3n2,H3N2,5.1003,1.0586000000000002,1,6.0808,5.1003,6.1589
na,NA,56391-57-2,5.2670666666666675,5.3052,5.3967,h5n1,H5N1,5.0993,0.29739999999999966,1,5.3052,5.3967,5.0993
na,NA,103980-44-5,5.433433333333333,5.5567,5.6462,h3n2,H3N2,5.0974,0.5488,1,5.5567,5.0974,5.6462
na,NA,54573-75-0,5.400266666666667,5.534,5.5735,ph1n1,pH1N1,5.0933,0.48019999999999996,0,5.0933,5.5735,5.534
na,NA,30123-17-2,5.395700000000001,5.4623,5.6345,ph1n1,pH1N1,5.0903,0.5442,1,5.0903,5.6345,5.4623
na,NA,130929-57-6,5.348533333333333,5.3724,5.5903,h3n2,H3N2,5.0829,0.5073999999999996,1,5.3724,5.0829,5.5903
na,NA,97-44-9,5.182433333333333,5.1803,5.2952,h3n2,H3N2,5.0718,0.2234000000000007,1,5.2952,5.0718,5.1803
na,NA,53994-73-3,5.148233333333334,5.1704,5.203,h3n2,H3N2,5.0713,0.13170000000000037,1,5.203,5.0713,5.1704
na,NA,16676-29-2,5.132133333333333,5.1636,5.1643,ph1n1,pH1N1,5.0685,0.09579999999999966,1,5.0685,5.1643,5.1636
na,NA,101152-94-7,5.397733333333332,5.3735,5.7534,h5n1,H5N1,5.0663,0.6871,1,5.7534,5.3735,5.0663
na,NA,59-92-7,5.210466666666666,5.2838,5.288,h3n2,H3N2,5.0596,0.2284000000000006,1,5.2838,5.0596,5.288
na,NA,29767-20-2,5.1321,5.0622,5.2816,h5n1,H5N1,5.0525,0.22909999999999986,1,5.2816,5.0622,5.0525
na,NA,17140-60-2,5.156033333333333,5.1288,5.2905,h5n1,H5N1,5.0488,0.2416999999999998,1,5.1288,5.2905,5.0488
na,NA,22839-47-0,5.282133333333333,5.3014,5.5045,ph1n1,pH1N1,5.0405,0.4640000000000004,1,5.0405,5.3014,5.5045
na,NA,39831-55-5,5.4177333333333335,5.596,5.6209,h5n1,H5N1,5.0363,0.5846,1,5.596,5.6209,5.0363
na,NA,32981-86-5,5.066233333333334,5.0594,5.1162,ph1n1,pH1N1,5.0231,0.09309999999999974,1,5.0231,5.1162,5.0594
na,NA,60200-06-8,5.356766666666666,5.4735,5.5738,h5n1,H5N1,5.023,0.5508000000000006,1,5.4735,5.5738,5.023
na,NA,141625-93-6,5.341666666666666,5.3772,5.6251,h3n2,H3N2,5.0227,0.6023999999999994,1,5.3772,5.0227,5.6251
na,NA,192725-17-0,5.471866666666666,5.3949,6.0001,h3n2,H3N2,5.0206,0.9794999999999998,1,5.3949,5.0206,6.0001
na,NA,24512-63-8,5.286533333333334,5.2808,5.5606,h3n2,H3N2,5.0182,0.5423999999999998,1,5.5606,5.0182,5.2808
na,NA,6153-64-6,5.345266666666666,5.2234,5.7947,h3n2,H3N2,5.0177,0.7770000000000001,0,5.2234,5.0177,5.7947
na,NA,55079-83-9,5.0860666666666665,5.042,5.199,h5n1,H5N1,5.0172,0.18179999999999996,0,5.042,5.199,5.0172
na,NA,91832-40-5,5.342700000000001,5.4511,5.5611,ph1n1,pH1N1,5.0159,0.5451999999999995,1,5.0159,5.5611,5.4511
na,NA,18883-66-4,5.1566,5.0798,5.375,ph1n1,pH1N1,5.015,0.3600000000000003,0,5.015,5.0798,5.375
na,NA,28860-95-9,5.189866666666667,5.1964,5.3629,ph1n1,pH1N1,5.0103,0.3525999999999998,1,5.0103,5.3629,5.1964
na,NA,201530-41-8,5.2884,5.1791,5.6762,h5n1,H5N1,5.0099,0.6662999999999997,1,5.6762,5.1791,5.0099
na,NA,88889-14-9,5.2261999999999995,5.0491,5.6282,ph1n1,pH1N1,5.0013,0.6269,1,5.0013,5.0491,5.6282
na,NA,57808-65-8,5.435233333333333,5.598,5.7102,h3n2,H3N2,4.9975,0.7127000000000008,1,5.7102,4.9975,5.598
na,NA,19774-82-4,5.294833333333334,5.3133,5.574,ph1n1,pH1N1,4.9972,0.5767999999999995,1,4.9972,5.3133,5.574
na,NA,147526-32-7,5.5292,5.5945,6.0,h3n2,H3N2,4.9931,1.0069,1,5.5945,4.9931,6.0
na,NA,179324-69-7,5.1098,5.1206,5.2222,ph1n1,pH1N1,4.9866,0.2355999999999998,0,4.9866,5.2222,5.1206
na,NA,74103-07-4,5.0892333333333335,5.1339,5.149,ph1n1,pH1N1,4.9848,0.16420000000000012,1,4.9848,5.149,5.1339
na,NA,1476-53-5,5.5317,5.5675,6.043,h3n2,H3N2,4.9846,1.0583999999999998,0,6.043,4.9846,5.5675
na,NA,79-57-2,5.320133333333334,5.1841,5.798,h3n2,H3N2,4.9783,0.8197000000000001,1,5.1841,4.9783,5.798
na,NA,72956-09-3,5.335833333333333,5.4551,5.5775,h5n1,H5N1,4.9749,0.6025999999999998,1,5.4551,5.5775,4.9749
na,NA,41294-56-8,5.209733333333333,5.0723,5.5831,h5n1,H5N1,4.9738,0.6093000000000002,1,5.5831,5.0723,4.9738
na,NA,113852-37-2,5.159133333333333,5.0206,5.4894,ph1n1,pH1N1,4.9674,0.5220000000000002,1,4.9674,5.4894,5.0206
na,NA,1264-72-8,5.320899999999999,5.2193,5.7848,ph1n1,pH1N1,4.9586,0.8262,1,4.9586,5.2193,5.7848
na,NA,175865-59-5,5.263466666666667,5.0861,5.7498,ph1n1,pH1N1,4.9545,0.7952999999999992,0,4.9545,5.7498,5.0861
na,NA,69-52-3,5.250900000000001,5.3924,5.4093,h5n1,H5N1,4.951,0.4583000000000004,0,5.4093,5.3924,4.951
na,NA,115256-11-6,5.111633333333333,5.1506,5.2334,h3n2,H3N2,4.9509,0.28249999999999975,1,5.1506,4.9509,5.2334
na,NA,476-66-4,5.085666666666667,5.1023,5.2042,h3n2,H3N2,4.9505,0.25370000000000026,0,5.2042,4.9505,5.1023
na,NA,58970-76-6,5.299566666666666,5.3512,5.5986,h3n2,H3N2,4.9489,0.6497000000000002,0,5.5986,4.9489,5.3512
na,NA,90357-06-5,5.214433333333333,5.0896,5.6067,h3n2,H3N2,4.947,0.6597,1,5.6067,4.947,5.0896
na,NA,70288-86-7,5.378899999999999,5.5916,5.6036,ph1n1,pH1N1,4.9415,0.6621000000000006,1,4.9415,5.6036,5.5916
na,NA,364622-82-2,5.214933333333334,5.1819,5.5225,ph1n1,pH1N1,4.9404,0.5820999999999996,0,4.9404,5.1819,5.5225
na,NA,50-23-7,4.989666666666667,4.9922,5.037,ph1n1,pH1N1,4.9398,0.09719999999999995,0,4.9398,5.037,4.9922
na,NA,159351-69-6,5.4136999999999995,5.6481,5.6567,h3n2,H3N2,4.9363,0.7203999999999997,0,5.6567,4.9363,5.6481
na,NA,53123-88-9,5.383666666666667,5.4301,5.7848,ph1n1,pH1N1,4.9361,0.8487,0,4.9361,5.4301,5.7848
na,NA,93957-55-2,5.307200000000001,5.1906,5.8014,ph1n1,pH1N1,4.9296,0.8718000000000004,1,4.9296,5.1906,5.8014
na,NA,901-47-3,5.0681,5.0847,5.1933,h3n2,H3N2,4.9263,0.26699999999999946,0,5.0847,4.9263,5.1933
na,NA,73573-88-3,5.129733333333333,5.1693,5.2955,h3n2,H3N2,4.9244,0.3710999999999993,0,5.1693,4.9244,5.2955
na,NA,50679-08-8,5.241733333333333,5.3863,5.4151,ph1n1,pH1N1,4.9238,0.49129999999999985,0,4.9238,5.3863,5.4151
na,NA,63-45-6,5.1362,5.111,5.3748,h3n2,H3N2,4.9228,0.45199999999999996,1,5.111,4.9228,5.3748
na,NA,139481-59-7,5.018533333333334,5.0654,5.0715,ph1n1,pH1N1,4.9187,0.15280000000000005,0,4.9187,5.0715,5.0654
na,NA,10040-45-6,5.256266666666666,5.3745,5.4784,h3n2,H3N2,4.9159,0.5625,1,5.4784,4.9159,5.3745
na,NA,3963-95-9,5.1993,5.1814,5.5017,ph1n1,pH1N1,4.9148,0.5869,1,4.9148,5.1814,5.5017
na,NA,86541-74-4,5.198433333333334,5.1324,5.5514,ph1n1,pH1N1,4.9115,0.6398999999999999,0,4.9115,5.1324,5.5514
na,NA,80621-81-4,5.012733333333333,4.9897,5.1419,h5n1,H5N1,4.9066,0.23529999999999962,1,4.9897,5.1419,4.9066
na,NA,183133-96-2,4.969433333333334,4.987,5.0288,ph1n1,pH1N1,4.8925,0.1363000000000003,1,4.8925,5.0288,4.987
na,NA,64-72-2,5.2329,5.4032,5.4034,ph1n1,pH1N1,4.8921,0.5113000000000003,1,4.8921,5.4034,5.4032
na,NA,70458-96-7,4.9317,4.9139,4.99,ph1n1,pH1N1,4.8912,0.09879999999999978,1,4.8912,4.99,4.9139
na,NA,118072-93-8,5.072133333333333,5.0487,5.2845,ph1n1,pH1N1,4.8832,0.4013,1,4.8832,5.2845,5.0487
na,NA,79559-97-0,5.074066666666666,4.9094,5.4328,ph1n1,pH1N1,4.88,0.5528000000000004,0,4.88,5.4328,4.9094
na,NA,23180-57-6,5.557433333333333,5.8813,5.9125,h3n2,H3N2,4.8785,1.0339999999999998,1,5.8813,4.8785,5.9125
na,NA,320345-99-1,4.992333333333334,5.0475,5.0535,h5n1,H5N1,4.876,0.17749999999999932,0,5.0475,5.0535,4.876
na,NA,82586-55-8,5.091066666666667,4.9677,5.4313,h5n1,H5N1,4.8742,0.5571000000000002,1,5.4313,4.9677,4.8742
na,NA,341031-54-7,5.193433333333334,5.038,5.6703,ph1n1,pH1N1,4.872,0.7983000000000002,0,4.872,5.038,5.6703
na,NA,302-79-4,5.0201,5.0831,5.1071,h3n2,H3N2,4.8701,0.2370000000000001,1,5.1071,4.8701,5.0831
na,NA,56390-09-1,5.140733333333334,5.0593,5.4945,ph1n1,pH1N1,4.8684,0.6261000000000001,1,4.8684,5.0593,5.4945
na,NA,50-24-8,4.976633333333333,4.9866,5.0758,h3n2,H3N2,4.8675,0.20830000000000037,0,4.9866,4.8675,5.0758
na,NA,2181-04-6,5.0859,5.1619,5.2305,h3n2,H3N2,4.8653,0.36519999999999975,0,5.1619,4.8653,5.2305
na,NA,555-30-6,5.157266666666667,5.1555,5.4534,ph1n1,pH1N1,4.8629,0.5905000000000005,1,4.8629,5.4534,5.1555
na,NA,134-03-2,5.0460666666666665,5.0909,5.1944,h3n2,H3N2,4.8529,0.3414999999999999,1,5.0909,4.8529,5.1944
na,NA,144143-96-4,5.175066666666666,5.2646,5.4087,h3n2,H3N2,4.8519,0.5568,0,5.2646,4.8519,5.4087
na,NA,84680-54-6,5.153066666666667,5.0322,5.5792,ph1n1,pH1N1,4.8478,0.7313999999999998,1,4.8478,5.0322,5.5792
na,NA,122111-03-9,5.272466666666667,5.3669,5.603,ph1n1,pH1N1,4.8475,0.7554999999999996,0,4.8475,5.3669,5.603
na,NA,32222-06-3,4.858833333333333,4.8603,4.8703,ph1n1,pH1N1,4.8459,0.024399999999999977,1,4.8459,4.8703,4.8603
na,NA,21736-83-4,4.8998333333333335,4.9226,4.9372,h5n1,H5N1,4.8397,0.09750000000000014,0,4.9226,4.9372,4.8397
na,NA,149647-78-9,5.247366666666667,5.3321,5.5731,h3n2,H3N2,4.8369,0.7362000000000002,0,5.3321,4.8369,5.5731
na,NA,89-57-6,4.967033333333333,4.969,5.0974,ph1n1,pH1N1,4.8347,0.2627000000000006,0,4.8347,4.969,5.0974
na,NA,60142-96-3,4.931766666666666,4.8624,5.1014,h3n2,H3N2,4.8315,0.2698999999999998,1,4.8624,4.8315,5.1014
na,NA,790299-79-5,5.2917,5.244,5.8071,h3n2,H3N2,4.824,0.9831000000000003,1,5.8071,4.824,5.244
na,NA,1197-18-8,5.153766666666667,4.8846,5.7534,h5n1,H5N1,4.8233,0.9301000000000004,0,4.8846,5.7534,4.8233
