compound_id,target_id,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,branch_sequence_pr,branch_pose_pr,branch_structure_pr,consensus_123_pr,disagreement_sd_pr,disagreement_range_pr,disagreement_branch_sd_pr,structure_minus_pose_pr,sequence_minus_structure_pr,exact_mol_wt,logp,tpsa,hbd,hba,formal_charge,rotatable_bonds,ring_count,aromatic_ring_count,heavy_atom_count,fraction_csp3,structural_alert_count,qed
56390-09-1,furin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H]([NH3+])[C@@H](O)[C@H](C)O1,6.008,0.9713,0.993,0.968,0.8865,0.6336,0.6195,0.62655,0.98215,0.92725,0.8954333333333334,0.1733473670600931,0.3734999999999999,0.1914357420476472,-0.0549000000000001,-0.3006999999999998,544.18133720009,-0.7154999999999982,207.69,6,11,1,5,5,2,39,0.4444444444444444,1,0.2210024780657793
5370-01-4,furin,Cc1cccc(C)c1OC[C@@H](C)[NH3+],7.048,0.9973,0.999,0.999,0.9889,0.7912,0.8755,0.83335,0.99815,0.99395,0.9685833333333332,0.0882251532538576,0.2077999999999999,0.0939583595713192,-0.0041999999999999,-0.1605999999999999,180.13829061609,1.3126399999999998,36.870000000000005,1,1,1,3,1,1,13,0.4545454545454545,0,0.7478639675821351
90357-06-5,furin,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.369,0.7768,0.7644,0.6969,0.6267,0.4873,0.2987,0.393,0.7706,0.6617999999999999,0.6532666666666668,0.1851707176274549,0.4781,0.1943676241901755,-0.1088,-0.2687999999999999,430.061040808,2.8795800000000007,107.26,2,5,0,5,2,2,29,0.2222222222222222,2,0.5604120760868545
107007-99-8,furin,Cn1nc(C(=O)N[C@H]2C[C@H]3CCC[C@@H](C2)[N@@H+]3C)c2ccccc21,6.025,0.9291,0.5963,0.5085,0.7278,0.8365,0.9655,0.901,0.7627,0.61815,0.713475,0.1831730374991545,0.4570000000000001,0.1414365081346868,-0.14455,0.28285,313.20228784009,0.9013000000000008,51.36,2,2,1,2,4,2,23,0.5555555555555556,0,0.8654813653793025
64872-77-1,furin,Clc1ccc(CC[C@H](Cn2cc[nH+]c2)Sc2c(Cl)cccc2Cl)cc1,4.284,0.8933,0.966,0.999,0.9829,0.596,0.4192,0.5076,0.92965,0.99095,0.8899583333333334,0.2430673898325318,0.5798,0.2631574671180736,0.0613,-0.4833499999999999,411.02507903609,6.056100000000003,19.07,0,1,1,7,3,3,25,0.2105263157894736,1,0.4317741523432858
5786-21-0,furin,C[NH+]1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.981,0.8151,0.562,0.5091,0.572,0.9524,0.1704,0.5614,0.68855,0.54055,0.5933583333333332,0.2703481360517706,0.782,0.0801101793365445,-0.148,0.02085,327.13710074009,2.305600000000001,32.07,2,3,1,0,4,2,23,0.2777777777777778,0,0.7779767589631497
101827-46-7,furin,C[N@H+](Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,4.513,0.1096,0.0734,0.4407,0.1847,0.5113,0.5338,0.5225500000000001,0.0915,0.3127,0.2739416666666667,0.2095344307426984,0.4604,0.2155499033480027,0.2211999999999999,0.2098500000000001,318.22162631609,4.352200000000004,4.44,1,0,1,4,3,3,24,0.3043478260869565,0,0.7291742768719393
99614-01-4,furin,Cc1[nH+]ccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,4.873,0.9914,0.8701,0.7762,0.8351,0.0678,0.6358,0.3518,0.93075,0.80565,0.7717083333333332,0.329123707238884,0.9236,0.3046344626488167,-0.1251,-0.45385,294.1600886800899,2.547620000000001,41.07,0,1,1,2,4,3,22,0.3333333333333333,0,0.7158516081327108
113-59-7,furin,C[NH+](C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,4.566,0.8527,0.6802,0.1084,0.0802,0.4012,0.0334,0.2173,0.7664500000000001,0.0943,0.3388500000000001,0.3450317072386246,0.8193,0.3578827426686009,-0.67215,0.123,316.09212470809,3.770900000000002,4.44,1,1,1,3,3,2,21,0.2222222222222222,0,0.7704134470229285
56296-78-7,furin,C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.706,0.0707,0.5449,0.2158,0.469,0.8255,0.8721,0.8488,0.3078,0.3424,0.4152666666666667,0.3201415728496795,0.8014,0.3028528575617759,0.0345999999999999,0.5064,310.14132530809,3.408800000000003,25.84,1,1,1,6,2,2,22,0.2941176470588235,0,0.8691389286871458
50357-45-4,furin,NC(=[NH2+])c1ccc(OCCCCCOc2ccc(C(N)=[NH2+])cc2)cc1,5.356,0.7468,0.9224,0.9414,0.8524,0.8968,0.5685,0.73265,0.8346,0.8969,0.8487583333333334,0.1419652974028042,0.3729,0.0829187905925631,0.0623,-0.16425,342.20447891218,-0.7564999999999973,121.68,4,2,2,10,2,2,25,0.2631578947368421,3,0.257571879518029
122883-93-6,furin,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.621,0.4761,0.2868,0.5028,0.8996,0.1551,0.3896,0.27235,0.38145,0.7012,0.5231416666666667,0.2541027167636479,0.7444999999999999,0.2228808332569971,0.31975,-0.42885,413.1197364240901,2.3918999999999997,49.67,2,4,1,4,5,3,28,0.3333333333333333,0,0.6901284265045128
668270-12-0,furin,CC#CCn1c(N2CCC[C@@H]([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.299,0.879,0.9173,0.7454,0.7654,0.8932,0.3619,0.62755,0.89815,0.7554,0.781675,0.2075435632985679,0.5554,0.1353683524068064,-0.14275,-0.1278499999999999,473.24079858809006,0.4306200000000022,118.48000000000002,1,6,1,4,5,4,35,0.4,1,0.4296284276607755
34183-22-7,furin,CCC[NH2+]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,5.181,0.999,0.9933,0.9453,0.9191,0.2044,0.1195,0.1619499999999999,0.99615,0.9322,0.8251416666666667,0.4162066009407667,0.8795,0.4642672192103739,-0.0639499999999999,-0.7702500000000001,342.20637017609,2.2152000000000003,63.14000000000001,2,3,1,11,2,2,25,0.3809523809523809,2,0.4860971257197134
32986-56-4,furin,[NH3+]C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]3O)[C@H]([NH3+])C[C@@H]2[NH3+])[C@H]([NH3+])C[C@@H]1O,5.184,0.1438,0.677,0.912,0.6334,0.0076,0.011,0.0093,0.4104,0.7726999999999999,0.5247,0.390959653502336,0.9044,0.3818642996318631,0.3622999999999999,-0.7634,472.2955100244501,-9.87980000000001,276.27000000000004,10,9,5,6,3,0,32,1.0,0,0.1752724698613096
179324-69-7,furin,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,4.381,0.9398,0.8487,0.6,0.7617,0.1186,0.0795,0.09905,0.89425,0.68085,0.6550166666666667,0.3729798962410708,0.8603,0.4115770158791669,-0.2134,-0.5818,384.19688568,0.3605999999999996,124.44,4,6,0,9,2,2,28,0.3684210526315789,1,0.4630461526225883
2030-63-9,furin,CC(C)/[NH+]=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,4.729,0.5661,0.5676,0.5984,0.7629,0.1494,0.5275,0.33845,0.5668500000000001,0.68065,0.5856833333333333,0.2032189041403383,0.6135,0.1742688727225834,0.1137999999999999,-0.3422,473.12942851609006,5.570400000000005,43.82,2,2,1,4,5,3,33,0.1111111111111111,1,0.3347150082665135
155213-67-5,furin,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.97,0.3866,0.6623,0.6106,0.8133,0.9504,0.3238,0.6371,0.52445,0.7119500000000001,0.6369750000000001,0.2410374244801001,0.6266,0.094382903642556,0.1875000000000001,-0.07485,720.3127606359999,5.905200000000005,145.77999999999997,4,9,0,17,4,4,50,0.4324324324324324,0,0.1062404658591032
163222-33-1,furin,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,5.896,0.9722,0.9482,0.9964,0.9949,0.3123,0.4931,0.4027,0.9602,0.99565,0.8850083333333334,0.3030077716275057,0.6840999999999999,0.3325789768360792,0.0354499999999999,-0.5929499999999999,409.148949972,4.888300000000004,60.77,2,3,0,6,4,3,30,0.2083333333333333,1,0.5702138618789355
132539-06-1,furin,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,4.002,0.8609,0.7583,0.0569,0.0241,0.3721,0.1271,0.2496,0.8096,0.0405,0.3317166666666666,0.3656151565056715,0.8368,0.3976677046647531,-0.7691,0.2090999999999999,313.14814409209,2.0221200000000006,32.07,2,4,1,0,4,2,22,0.3529411764705882,0,0.7798006808123278
32672-69-8,furin,C[N@H+]1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21,4.339,0.6791,0.7578,0.7635,0.712,0.6388,0.0863,0.36255,0.71845,0.7377499999999999,0.6687833333333333,0.2590724435365521,0.6771999999999999,0.2112708924580004,0.0192999999999998,-0.3751999999999998,387.1559319040901,3.4840000000000027,24.75,1,3,1,4,4,2,26,0.4285714285714285,0,0.8692990927222461
229975-97-7,furin,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,4.095,0.91,0.8014,0.9447,0.863,0.4281,0.2896,0.35885,0.8557,0.90385,0.7969666666666667,0.2767529993815183,0.6551,0.3017182308600747,0.04815,-0.545,704.3897480040001,4.2116000000000025,171.21999999999997,5,9,0,14,3,3,51,0.4473684210526316,1,0.1543119595881688
79559-97-0,furin,C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,4.058,0.7826,0.8445,0.682,0.8572,0.5153,0.8826,0.69895,0.81355,0.7696000000000001,0.772475,0.1400633856509259,0.3673,0.0578160661062303,-0.0439499999999999,-0.0706500000000001,306.08108135609,4.153400000000002,16.61,1,0,1,2,3,2,20,0.2941176470588235,0,0.8580133130898641
274693-27-5,furin,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,4.108,0.7896,0.7461,0.1733,0.1487,0.4733,0.8426,0.65795,0.7678499999999999,0.161,0.4461083333333333,0.3122956206331857,0.6939,0.3233430157484978,-0.6068499999999999,0.49695,522.186080816,2.0136999999999996,138.44,4,10,0,10,5,3,36,0.5652173913043478,2,0.2310407817268838
65277-42-1,furin,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cc[nH+]c4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.227,0.992,0.7328,0.5922,0.5254,0.7514,0.7083,0.72985,0.8624,0.5588,0.6885083333333334,0.1608846097880921,0.4666,0.1522063100969646,-0.3036000000000001,0.17105,531.15603718809,3.624900000000002,70.31,0,5,1,7,5,3,36,0.3846153846153846,0,0.4651941170332461
65473-14-5,furin,C[N@@H+](CC=Cc1ccccc1)Cc1cccc2ccccc12,4.27,0.1937,0.6441,0.7002,0.2167,0.8487,0.7165,0.7826,0.4189,0.45845,0.4992916666666667,0.277968116277149,0.655,0.1995474525854272,0.03955,0.3241499999999999,288.17467612409,3.5679000000000025,4.44,1,0,1,5,3,3,22,0.1428571428571428,0,0.7318946986800634
175865-59-5,furin,CC(C)[C@H]([NH3+])C(=O)OC[C@@H](CO)OCn1cnc2c(=O)[nH]c(N)nc21,4.405,0.9479,0.909,0.5306,0.3603,0.5429,0.1229,0.3329,0.92845,0.44545,0.5876916666666666,0.3174529424444931,0.825,0.3163954026741433,-0.483,-0.1125499999999999,355.1724442560901,-2.1534999999999975,172.99,4,8,1,8,2,2,25,0.5714285714285714,1,0.3876197134248116
148849-67-6,furin,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,4.592,0.99,0.9807,0.9123,0.9355,0.2417,0.1385,0.1901,0.98535,0.9239,0.8220833333333334,0.3971762551647148,0.8514999999999999,0.4424667793556182,-0.06145,-0.7338,469.26969870408993,1.8929000000000016,61.67,1,5,1,10,4,2,34,0.5185185185185185,0,0.5760234412491368
192725-17-0,furin,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,4.343,0.8117,0.1138,0.5797,0.6347,0.4375,0.3424,0.38995,0.46275,0.6072,0.5228416666666666,0.2443258125263613,0.6979,0.1105766740019491,0.1444499999999999,-0.2172499999999999,628.362470636,4.328140000000003,120.0,4,5,0,15,4,3,46,0.4324324324324324,0,0.199874123748593
63-45-6,furin,COc1cc(N[C@@H](C)CCC[NH3+])c2ncccc2c1,4.407,0.9042,0.8437,0.7303,0.8513,0.8986,0.5036,0.7011000000000001,0.87395,0.7908,0.8035666666666668,0.1530062406134686,0.4005999999999999,0.0864456814036035,-0.08315,-0.0896999999999998,260.17573874409,2.065899999999999,61.79,2,3,1,6,2,2,19,0.4,0,0.8354730963570144
443913-73-3,furin,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CC[N@H+](C)CC1,4.286,0.302,0.7606,0.6984,0.353,0.6018,0.5278,0.5648,0.5313,0.5257000000000001,0.5340833333333334,0.1840292585433088,0.4586,0.021144029890255,-0.0055999999999999,0.0390999999999999,475.1139427800901,3.587100000000002,60.709999999999994,2,5,1,6,4,3,30,0.3636363636363636,0,0.5698509702629736
61-76-7,furin,C[NH2+]C[C@@H](O)c1cccc(O)c1,4.654,0.6653,0.6959,0.0711,0.3155,0.2399,0.2793,0.2596,0.6806,0.1933,0.3667833333333333,0.2492022043776231,0.6248,0.264290868804303,-0.4872999999999999,0.0663,168.10190510809,-0.3811999999999995,57.07000000000001,3,2,1,3,1,1,12,0.3333333333333333,0,0.5759050364891328
440-17-5,furin,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.663,0.7409,0.2394,0.2387,0.2363,0.438,0.2239,0.3309499999999999,0.49015,0.2375,0.3372916666666667,0.2068557242782192,0.517,0.1277429482724323,-0.25265,0.0934499999999999,408.17157988009,3.528500000000002,10.920000000000002,1,3,1,4,4,2,28,0.4285714285714285,0,0.8307344936157748
184475-35-2,furin,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCC[NH+]1CCOCC1,4.143,0.9783,0.9155,0.6607,0.9556,0.3534,0.8868,0.6201,0.9469,0.8081499999999999,0.8230583333333333,0.2430313182836045,0.6249,0.164018599046978,-0.13875,-0.1880499999999999,447.15937298009,2.858500000000001,69.94000000000001,2,6,1,8,4,3,31,0.3636363636363636,1,0.5174237388633043
23256-50-0,furin,NC(=[NH2+])N/N=C/c1c(Cl)cccc1Cl,3.677,0.1332,0.1782,0.3484,0.1545,0.846,0.9647,0.90535,0.1557,0.25145,0.3285166666666667,0.3722028694139797,0.8315,0.4079886426115315,0.09575,0.6538999999999999,231.01987806809,-0.0092999999999994,76.0,3,1,1,2,1,1,14,0.0,3,0.3808007220814716
58-27-5,furin,CC1=CC(=O)c2ccccc2C1=O,3.43,0.6889,0.9507,0.7449,0.8855,0.8687,0.281,0.5748500000000001,0.8198,0.8151999999999999,0.776675,0.2430538904577885,0.6697,0.1401129217214933,-0.0046,-0.2403499999999998,172.052429496,2.0119,34.14,0,2,0,0,2,1,13,0.0909090909090909,0,0.5994834910884169
183320-51-6,furin,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1,4.372,0.2891,0.1133,0.0386,0.1862,0.5656,0.9623,0.76395,0.2012,0.1124,0.2505916666666666,0.3476851300626282,0.9237,0.3533389319524999,-0.0888,0.6515500000000001,379.15320615199994,2.7510000000000012,85.73000000000002,2,7,0,9,3,3,28,0.238095238095238,2,0.4366814715923838
53716-49-7,furin,C[C@@H](C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.795,0.8512,0.6699,0.4474,0.1108,0.3493,0.0746,0.21195,0.7605500000000001,0.2791,0.4283916666666667,0.3062650682007335,0.7766,0.2992393648903834,-0.48145,-0.06715,272.04837985191006,2.8279000000000005,55.919999999999995,1,2,-1,2,3,3,19,0.1333333333333333,0,0.7798066602926482
54527-84-3,furin,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC[N@H+](C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,4.239,0.4815,0.6695,0.1179,0.322,0.5928,0.1292,0.361,0.5755,0.21995,0.3619749999999999,0.2341695916780542,0.5516,0.1790349849424221,-0.35555,0.1410499999999999,480.21291210009,2.260700000000001,112.21,2,7,1,9,3,2,35,0.3076923076923077,3,0.3216533356436632
298-81-7,furin,COc1c2occc2cc2ccc(=O)oc12,5.142,0.1862,0.7184,0.288,0.4085,0.2402,0.1805,0.2103499999999999,0.4523,0.3482499999999999,0.35995,0.204735113418941,0.5379,0.1213690068894581,-0.10405,-0.1378999999999999,216.042258736,2.5478000000000005,52.58,0,4,0,1,3,3,16,0.0833333333333333,1,0.5863590335117103
51-30-9,furin,CC(C)[NH2+]C[C@H](O)c1ccc(O)c(O)c1,5.897,0.9887,0.8688,0.7301,0.8264,0.5018,0.0876,0.2947,0.92875,0.77825,0.7478249999999999,0.327597061443882,0.9011,0.3312829241499376,-0.1504999999999999,-0.48355,212.12811985609,0.103,77.30000000000001,4,3,1,4,1,1,15,0.4545454545454545,1,0.5346782625645278
