compound_id,target_id,target_class,strain,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,label_source,round_id
201530-41-8,furin,Furin,,O=C([O-])c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,5.012,0.9297,0.4092,0.4904,0.4029,0.7793,0.5803,synthetic,round_0
111406-87-2,furin,Furin,,C[C@H](c1cc2ccccc2s1)N(O)C(N)=O,3.836,0.6095,0.8171,0.6337,0.6378,0.1548,0.3299,synthetic,round_0
2627-69-2,furin,Furin,,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,4.559,0.2409,0.2191,0.8541,0.2986,0.0271,0.2952,synthetic,round_0
3717-88-2,furin,Furin,,Cc1c(-c2ccccc2)oc2c(C(=O)OCC[NH+]3CCCCC3)cccc2c1=O,4.942,0.3884,0.44,0.8814,0.6402,0.0235,0.6569,synthetic,round_0
133099-07-7,furin,Furin,,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@@H+](CCc2ccc3c(c2)CCO3)C1,7.702,0.999,0.999,0.9989,0.9961,0.6277,0.5638,synthetic,round_0
223673-61-8,furin,Furin,,Nc1nc(CC(=O)Nc2ccc(CC[NH2+]C[C@H](O)c3ccccc3)cc2)cs1,5.129,0.6885,0.5175,0.5155,0.559,0.7082,0.7385,synthetic,round_0
50-28-2,furin,Furin,,C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,4.104,0.2443,0.2911,0.1467,0.2727,0.1772,0.2341,synthetic,round_0
641571-10-0,furin,Furin,,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)c[nH+]1,4.218,0.9081,0.967,0.7384,0.5891,0.3906,0.5077,synthetic,round_0
21462-39-5,furin,Furin,,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)[N@H+](C)C1,4.735,0.7096,0.1231,0.6726,0.7799,0.897,0.8497,synthetic,round_0
169590-42-5,furin,Furin,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.713,0.9517,0.7206,0.3346,0.8002,0.743,0.7597,synthetic,round_0
53885-35-1,furin,Furin,,Clc1ccccc1C[N@H+]1CCc2sccc2C1,3.496,0.3277,0.4393,0.1787,0.1805,0.8257,0.1205,synthetic,round_0
191732-72-6,furin,Furin,,Nc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,4.623,0.1332,0.5472,0.6344,0.3316,0.3711,0.069,synthetic,round_0
144598-75-4,furin,Furin,,Cc1nc2n(c(=O)c1CC[N@H+]1CC[C@H](c3noc4cc(F)ccc43)CC1)CCC[C@@H]2O,4.248,0.2163,0.3986,0.6903,0.217,0.8614,0.937,synthetic,round_0
154-69-8,furin,Furin,,C[NH+](C)CCN(Cc1ccccc1)c1ccccn1,4.199,0.9118,0.9732,0.995,0.9589,0.3311,0.0367,synthetic,round_0
103577-45-3,furin,Furin,,Cc1c(OCC(F)(F)F)cc[nH+]c1C[S@@](=O)c1nc2ccccc2[nH]1,3.975,0.1823,0.1441,0.1741,0.1126,0.817,0.526,synthetic,round_0
62893-19-0,furin,Furin,,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,3.713,0.5124,0.5336,0.1818,0.2039,0.3125,0.021,synthetic,round_0
73590-58-6,furin,Furin,,COc1ccc2nc([S@](=O)Cc3[nH+]cc(C)c(OC)c3C)[nH]c2c1,4.876,0.987,0.5696,0.7804,0.7798,0.1487,0.3431,synthetic,round_0
72432-03-2,furin,Furin,,OCC[N@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4.07,0.331,0.2475,0.3938,0.3464,0.0424,0.3319,synthetic,round_0
444731-52-6,furin,Furin,,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,6.887,0.5215,0.8598,0.9968,0.9915,0.5079,0.9972,synthetic,round_0
50-63-5,furin,Furin,,CC[NH+](CC)CCC[C@@H](C)Nc1cc[nH+]c2cc(Cl)ccc12,3.116,0.1364,0.1155,0.054,0.1456,0.2316,0.186,synthetic,round_0
364782-34-3,furin,Furin,,C[C@@H]([NH2+]CCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,4.647,0.1338,0.807,0.5208,0.5353,0.2372,0.3948,synthetic,round_0
61318-91-0,furin,Furin,,Clc1ccc(CS[C@H](Cn2cc[nH+]c2)c2ccc(Cl)cc2Cl)cc1,4.293,0.7988,0.947,0.4034,0.9906,0.9026,0.3092,synthetic,round_0
30652-11-0,furin,Furin,,Cc1c(O)c(=O)ccn1C,4.049,0.0934,0.1333,0.2042,0.1789,0.8267,0.8818,synthetic,round_0
165800-03-3,furin,Furin,,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,5.763,0.5152,0.7633,0.7758,0.9143,0.7585,0.8657,synthetic,round_0
321-30-2,furin,Furin,,Nc1ncnc2[nH]cnc12,4.87,0.0722,0.3459,0.6323,0.078,0.9239,0.6893,synthetic,round_0
91-33-8,furin,Furin,,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O,3.54,0.0314,0.7526,0.1843,0.3299,0.4897,0.9325,synthetic,round_0
134308-13-7,furin,Furin,,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,4.591,0.3969,0.4924,0.894,0.9898,0.2182,0.4854,synthetic,round_0
152459-95-5,furin,Furin,,Cc1ccc(NC(=O)c2ccc(C[NH+]3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,5.173,0.6949,0.4427,0.944,0.9772,0.6763,0.3594,synthetic,round_0
82586-55-8,furin,Furin,,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)[O-],6.281,0.9689,0.8742,0.999,0.999,0.4342,0.0075,synthetic,round_0
475207-59-1,furin,Furin,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4.203,0.9717,0.5939,0.9312,0.7795,0.6446,0.8625,synthetic,round_0
75706-12-6,furin,Furin,,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.226,0.7095,0.8915,0.9333,0.9618,0.342,0.7774,synthetic,round_0
41621-49-2,furin,Furin,,Cc1cc(C2CCCCC2)n([O-])c(=O)c1,4.763,0.3551,0.4791,0.4239,0.441,0.0102,0.3087,synthetic,round_0
4205-91-8,furin,Furin,,Clc1cccc(Cl)c1NC1=[NH+]CCN1,4.925,0.8342,0.9795,0.2679,0.2449,0.1824,0.2646,synthetic,round_0
479-18-5,furin,Furin,,Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,4.254,0.3062,0.5152,0.9041,0.8442,0.9785,0.1669,synthetic,round_0
73963-72-1,furin,Furin,,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,5.777,0.99,0.9738,0.6381,0.7782,0.3712,0.2008,synthetic,round_0
135729-62-3,furin,Furin,,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2,4.349,0.4385,0.4683,0.6446,0.6956,0.4565,0.8727,synthetic,round_0
6018-19-5,furin,Furin,,Nc1ccc(C(=O)[O-])c(O)c1,4.132,0.8663,0.5575,0.0381,0.1764,0.5889,0.8813,synthetic,round_0
78415-72-2,furin,Furin,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,3.416,0.6341,0.5353,0.7122,0.6308,0.2028,0.2957,synthetic,round_0
50-35-1,furin,Furin,,O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,4.723,0.3435,0.3806,0.3316,0.3013,0.2108,0.015,synthetic,round_0
319460-85-0,furin,Furin,,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,4.662,0.6908,0.6137,0.0729,0.6675,0.749,0.9244,synthetic,round_0
69-52-3,furin,Furin,,CC1(C)S[C@@H]2[C@@H](NC(=O)[C@@H]([NH3+])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-],5.198,0.6351,0.3231,0.9252,0.6726,0.2451,0.5304,synthetic,round_0
6493-05-6,furin,Furin,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5.471,0.043,0.4598,0.6109,0.6718,0.0896,0.1279,synthetic,round_0
183319-69-9,furin,Furin,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4.312,0.1259,0.0771,0.6563,0.9466,0.5266,0.4074,synthetic,round_0
219861-08-2,furin,Furin,,C[NH+](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,4.636,0.9975,0.7527,0.9152,0.9714,0.3674,0.3747,synthetic,round_0
82640-04-8,furin,Furin,,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,4.586,0.8264,0.9509,0.5938,0.3474,0.0169,0.0191,synthetic,round_0
2809-21-4,furin,Furin,,C[C@](O)(P(=O)([O-])[O-])P(=O)([O-])O,4.592,0.7814,0.6478,0.5774,0.1906,0.5202,0.1855,synthetic,round_0
129497-78-5,furin,Furin,,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5[nH+]c(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)[O-])c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,3.691,0.9077,0.9803,0.7855,0.9689,0.4479,0.0678,synthetic,round_0
366-70-1,furin,Furin,,C[NH2+]NCc1ccc(C(=O)NC(C)C)cc1,3.76,0.6574,0.5024,0.5552,0.2414,0.0018,0.0307,synthetic,round_0
50-78-2,furin,Furin,,CC(=O)Oc1ccccc1C(=O)[O-],4.125,0.5086,0.1578,0.8406,0.5701,0.4366,0.6442,synthetic,round_0
59-67-6,furin,Furin,,O=C([O-])c1cccnc1,6.033,0.0524,0.6438,0.6088,0.7225,0.896,0.7648,synthetic,round_0
147403-03-0,furin,Furin,,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,6.886,0.9084,0.9496,0.9968,0.999,0.9929,0.9745,synthetic,round_0
51-48-9,furin,Furin,,[NH3+][C@@H](Cc1cc(I)c(Oc2cc(I)c([O-])c(I)c2)c(I)c1)C(=O)[O-],4.134,0.9852,0.998,0.9143,0.7793,0.2078,0.1375,synthetic,round_0
89-57-6,furin,Furin,,Nc1ccc(O)c(C(=O)[O-])c1,3.33,0.0189,0.1424,0.0241,0.0139,0.1135,0.1243,synthetic,round_0
