compound_id,target_id,prediction_mean,prediction_err
73590-58-6,furin,4.6629,1.0098
72432-03-2,furin,4.4831,1.9651
444731-52-6,furin,5.7134,1.3054
50-63-5,furin,4.087,0.8681
364782-34-3,furin,4.5537,0.8487
61318-91-0,furin,4.9105,1.1995
30652-11-0,furin,4.263,1.2864
165800-03-3,furin,5.3546,1.065
321-30-2,furin,4.5733,1.5835
91-33-8,furin,4.3775,1.8922
134308-13-7,furin,4.6172,0.8892
152459-95-5,furin,5.2264,1.1279
82586-55-8,furin,4.5313,1.7391
475207-59-1,furin,5.3355,1.3584
75706-12-6,furin,5.2524,1.0023
41621-49-2,furin,4.4004,0.7422
4205-91-8,furin,4.1947,1.285
479-18-5,furin,4.9376,0.8117
73963-72-1,furin,4.6345,1.314
135729-62-3,furin,5.0178,1.8423
6018-19-5,furin,4.0612,1.1623
78415-72-2,furin,4.7056,0.5253
50-35-1,furin,4.1741,1.1224
319460-85-0,furin,4.7047,1.2357
69-52-3,furin,4.5526,1.1481
6493-05-6,furin,4.3815,0.8857
183319-69-9,furin,4.4506,1.2191
219861-08-2,furin,4.9461,1.5089
82640-04-8,furin,4.3303,0.9804
2809-21-4,furin,4.2526,0.9504
129497-78-5,furin,4.6725,1.3485
366-70-1,furin,3.9347,0.9337
50-78-2,furin,4.4533,0.8438
59-67-6,furin,4.8212,0.9686
147403-03-0,furin,6.1269,1.0993
51-48-9,furin,4.021,4.7653
89-57-6,furin,3.8484,1.2411
63675-72-9,furin,4.7801,0.7686
93-14-1,furin,5.2662,1.2143
56180-94-0,furin,4.6052,2.8935
25451-15-4,furin,4.8892,0.5279
2022-85-7,furin,4.9243,0.8238
554-57-4,furin,4.5723,0.821
50-44-2,furin,4.8338,1.0741
156-57-0,furin,4.1878,1.5881
50-01-1,furin,3.8461,1.2437
99464-64-9,furin,4.4234,0.7792
82419-36-1,furin,4.5378,1.2249
122647-32-9,furin,4.2904,1.3089
149003-01-0,furin,3.6966,1.2029
112811-59-3,furin,4.0304,0.7555
51803-78-2,furin,4.1219,0.9158
29767-20-2,furin,5.7749,1.6486
10347-81-6,furin,5.1133,1.925
53994-73-3,furin,4.346,1.3995
49562-28-9,furin,3.8269,0.9153
51-52-5,furin,4.6718,1.2094
315-30-0,furin,5.3582,1.1341
1405-10-3,furin,4.2894,2.3596
58-14-0,furin,4.1853,1.1339
19237-84-4,furin,4.7991,0.9647
23288-49-5,furin,4.6164,2.4862
147-94-4,furin,5.2037,1.0948
65-29-2,furin,3.4248,1.8505
24356-60-3,furin,4.1034,1.5959
186826-86-8,furin,4.4802,1.1354
101-26-8,furin,4.8265,1.2921
15687-27-1,furin,4.3046,1.0694
286930-03-8,furin,4.5137,1.5161
3424-98-4,furin,4.7797,0.9871
14976-57-9,furin,4.5067,1.0171
160970-54-7,furin,4.6761,1.0387
3543-75-7,furin,4.3963,0.9007
144060-53-7,furin,4.5617,0.79
95233-18-4,furin,5.0068,0.7744
91374-20-8,furin,4.4555,1.2049
58186-27-9,furin,4.4175,1.6408
17321-77-6,furin,4.1216,1.2047
117-37-3,furin,4.9593,0.917
62571-86-2,furin,5.5749,1.9288
41340-25-4,furin,4.3563,0.9229
302962-49-8,furin,4.8861,2.0194
63-74-1,furin,4.7634,0.8099
2508-72-7,furin,4.3087,1.2678
85371-64-8,furin,4.5003,1.0798
58-56-0,furin,4.9484,0.9137
115256-11-6,furin,4.2805,0.7129
188062-50-2,furin,4.7794,0.8511
40828-46-4,furin,4.7497,0.8316
139110-80-8,furin,4.8535,1.5201
375815-87-5,furin,4.0289,1.0156
56211-40-6,furin,4.3223,0.8882
58-96-8,furin,5.0696,1.2773
3366-95-8,furin,4.2365,0.8162
211914-51-1,furin,4.345,1.1381
150322-43-3,furin,5.0222,1.4344
1744-22-5,furin,5.2248,1.2606
23239-51-2,furin,4.7879,0.6623
21679-14-1,furin,4.6741,1.3736
105816-04-4,furin,4.9902,1.416
57248-88-1,furin,4.7027,1.2265
39133-31-8,furin,4.4655,1.027
135062-02-1,furin,3.8247,0.9159
13311-84-7,furin,4.5427,0.9544
28657-80-9,furin,4.7513,0.6866
55268-74-1,furin,5.3811,1.0503
16676-29-2,furin,4.4132,0.8711
5633-20-5,furin,4.1054,1.1917
51-21-8,furin,4.3953,0.8067
147526-32-7,furin,4.2566,0.8178
7279-75-6,furin,4.6006,0.8874
96036-03-2,furin,4.2187,1.1348
220620-09-7,furin,3.8536,1.1115
167221-71-8,furin,3.9515,0.5845
100299-08-9,furin,5.197,1.1352
70288-86-7,furin,4.8915,1.3654
23651-95-8,furin,4.5454,0.6141
81131-70-6,furin,3.976,1.2241
141-90-2,furin,3.9247,1.291
405165-61-9,furin,4.5547,0.8964
19387-91-8,furin,3.7167,0.8922
26159-34-2,furin,4.2088,0.6324
19171-19-8,furin,4.2645,0.9489
34552-83-5,furin,4.6697,1.1553
103177-37-3,furin,5.2255,0.8083
60-56-0,furin,5.8201,1.9496
52-01-7,furin,5.2748,1.1063
67-48-1,furin,4.9865,1.3671
55-06-1,furin,4.2142,3.6198
23964-57-0,furin,5.0585,1.2257
19767-45-4,furin,4.1184,1.0883
7681-93-8,furin,4.2253,1.6793
51333-22-3,furin,4.7218,0.8171
78110-38-0,furin,4.5684,0.9057
1156-19-0,furin,4.1785,0.7423
83-43-2,furin,4.4689,0.8553
55-98-1,furin,4.2689,0.653
127-69-5,furin,4.2906,0.6965
88889-14-9,furin,4.5369,2.3514
138402-11-6,furin,4.7791,1.2544
159351-69-6,furin,4.4574,1.8162
57-83-0,furin,5.3624,1.0332
55079-83-9,furin,4.3919,1.5415
5451-09-2,furin,4.4663,1.1231
645-05-6,furin,4.7572,1.4765
91832-40-5,furin,3.9289,1.0815
2668-66-8,furin,5.6426,1.3838
153559-49-0,furin,5.1608,0.987
603-50-9,furin,4.8551,0.935
69388-84-7,furin,4.0004,0.7972
159811-51-5,furin,4.8892,0.6996
638-94-8,furin,4.4299,1.1258
211915-06-9,furin,3.8633,1.4647
1177-87-3,furin,4.3269,1.0041
1115-70-4,furin,4.7874,1.724
144689-63-4,furin,4.1261,1.771
882-09-7,furin,3.9819,0.9804
139481-59-7,furin,5.3282,1.2652
723-46-6,furin,4.5258,0.6139
57-66-9,furin,4.5893,0.9956
1069-66-5,furin,4.3151,1.1793
15307-79-6,furin,4.0685,1.3485
60-32-2,furin,4.2026,1.3214
13647-35-3,furin,4.3426,1.0661
29094-61-9,furin,4.8384,1.1008
98319-26-7,furin,5.1428,1.4557
23593-75-1,furin,4.9834,0.9204
1508-76-5,furin,4.203,0.9485
6080-58-6,furin,4.4893,1.0888
68-35-9,furin,4.1602,0.9461
23674-86-4,furin,4.0024,0.9899
1953-02-2,furin,3.7639,1.4308
356-12-7,furin,4.5574,0.6058
624-49-7,furin,4.442,1.2655
651-06-9,furin,4.2066,0.9843
127-56-0,furin,5.0134,0.7588
144-83-2,furin,4.372,0.6751
127-79-7,furin,4.2518,0.847
149647-78-9,furin,3.9828,1.3603
144-82-1,furin,4.3464,1.0561
595-33-5,furin,4.7784,0.7738
19356-17-3,furin,4.2648,1.4149
67392-87-4,furin,5.3183,2.2261
80474-14-2,furin,4.5619,1.0934
71-58-9,furin,3.9532,0.6531
2447-57-6,furin,4.2705,0.8717
635728-49-3,furin,4.6481,0.9517
101152-94-7,furin,4.9723,1.1182
124937-52-6,furin,4.5446,0.997
113852-37-2,furin,4.0447,1.1237
51481-61-9,furin,4.3398,1.2448
177036-94-1,furin,5.004,0.3356
80-50-2,furin,3.7023,0.675
434-13-9,furin,4.8758,1.4436
637-58-1,furin,5.5304,1.7507
107724-20-9,furin,4.7559,1.0155
137862-53-4,furin,4.4533,1.2767
302-79-4,furin,4.0411,1.4546
71963-77-4,furin,5.7236,2.0373
19774-82-4,furin,4.103,2.3295
145040-37-5,furin,5.4013,1.0695
173334-58-2,furin,4.3407,1.6175
80621-81-4,furin,5.1511,2.4
119302-91-9,furin,4.4673,2.0592
1070-11-7,furin,3.976,1.1321
50-55-5,furin,4.3742,1.3653
22260-51-1,furin,4.0706,1.1193
541-22-0,furin,4.0715,1.7275
865-21-4,furin,5.2001,1.6805
52-21-1,furin,5.3518,1.5711
83905-01-5,furin,5.6766,2.84
72559-06-9,furin,4.5739,1.918
1476-53-5,furin,4.3026,1.3252
297-76-7,furin,4.9895,1.8664
5593-20-4,furin,5.4618,1.632
64-77-7,furin,4.3976,0.9527
