compound_id,target_id,prediction_mean,prediction_err
191732-72-6,furin,4.3441,0.7573
144598-75-4,furin,4.6476,0.6653
154-69-8,furin,4.733,1.1783
103577-45-3,furin,4.1611,0.6364
62893-19-0,furin,4.0833,0.6342
73590-58-6,furin,4.5682,0.9945
72432-03-2,furin,4.2358,0.6406
444731-52-6,furin,5.2454,1.6808
50-63-5,furin,4.0206,0.9412
364782-34-3,furin,4.4831,0.6232
61318-91-0,furin,4.8507,1.3218
30652-11-0,furin,4.2684,0.7608
165800-03-3,furin,5.1607,1.4886
321-30-2,furin,4.4395,0.5068
91-33-8,furin,4.3914,0.8969
134308-13-7,furin,4.732,0.989
152459-95-5,furin,4.9067,1.1704
82586-55-8,furin,4.7428,1.185
475207-59-1,furin,5.1369,1.8083
75706-12-6,furin,5.0634,1.5598
41621-49-2,furin,4.2892,0.6032
4205-91-8,furin,4.2038,0.8725
479-18-5,furin,4.7948,0.8263
73963-72-1,furin,4.6383,1.2157
135729-62-3,furin,4.8266,0.9811
6018-19-5,furin,4.277,1.2235
78415-72-2,furin,4.5587,0.8037
50-35-1,furin,4.1616,0.7912
319460-85-0,furin,4.5745,1.2445
69-52-3,furin,4.6548,0.8253
6493-05-6,furin,4.3346,1.039
183319-69-9,furin,4.51,1.0725
219861-08-2,furin,4.8906,1.4664
82640-04-8,furin,4.2047,0.7143
2809-21-4,furin,4.3937,0.8104
129497-78-5,furin,4.715,1.1487
366-70-1,furin,4.1202,0.6383
50-78-2,furin,4.6227,0.6834
59-67-6,furin,4.7987,0.7763
147403-03-0,furin,5.5808,2.4956
51-48-9,furin,4.6626,1.216
89-57-6,furin,3.9128,1.1463
63675-72-9,furin,4.8313,0.8293
93-14-1,furin,5.1404,1.8379
56180-94-0,furin,4.5512,0.8095
25451-15-4,furin,4.8794,0.8655
2022-85-7,furin,4.8117,1.3779
554-57-4,furin,4.5765,0.7597
50-44-2,furin,4.7637,1.2088
156-57-0,furin,4.075,1.3514
50-01-1,furin,4.0456,0.8163
99464-64-9,furin,4.497,0.848
82419-36-1,furin,4.4109,0.8172
122647-32-9,furin,4.5843,1.1043
149003-01-0,furin,3.9225,0.6395
112811-59-3,furin,4.1288,0.9201
51803-78-2,furin,4.2906,0.639
29767-20-2,furin,5.2629,1.992
10347-81-6,furin,5.0409,1.4664
53994-73-3,furin,4.4979,1.0549
49562-28-9,furin,4.0465,0.753
51-52-5,furin,4.7561,0.9596
315-30-0,furin,5.0791,1.81
1405-10-3,furin,4.117,0.7585
58-14-0,furin,4.1774,0.89
19237-84-4,furin,4.4787,0.7669
23288-49-5,furin,4.5755,1.0268
147-94-4,furin,4.9545,1.2604
65-29-2,furin,3.8491,0.6629
24356-60-3,furin,4.4117,1.1097
186826-86-8,furin,4.4207,0.5636
101-26-8,furin,4.828,1.3468
15687-27-1,furin,4.4015,0.8704
286930-03-8,furin,4.6403,0.8513
3424-98-4,furin,4.6243,1.1562
14976-57-9,furin,4.5364,1.1162
160970-54-7,furin,4.7567,0.8789
3543-75-7,furin,4.5057,0.7954
144060-53-7,furin,4.52,0.8851
95233-18-4,furin,4.9177,0.9596
91374-20-8,furin,4.563,0.6918
58186-27-9,furin,4.7143,1.327
17321-77-6,furin,4.1859,1.1801
117-37-3,furin,4.8866,1.3133
62571-86-2,furin,5.4484,2.3708
41340-25-4,furin,4.4228,0.8097
302962-49-8,furin,4.5341,0.6273
63-74-1,furin,4.841,1.3293
2508-72-7,furin,4.4191,1.1609
85371-64-8,furin,4.6561,1.1653
58-56-0,furin,4.868,1.2892
115256-11-6,furin,4.3922,0.9399
188062-50-2,furin,4.6779,0.8938
40828-46-4,furin,4.7986,1.0551
139110-80-8,furin,5.0392,1.4064
375815-87-5,furin,3.9033,1.2201
56211-40-6,furin,4.3757,0.9326
58-96-8,furin,4.8483,1.3546
3366-95-8,furin,4.2068,0.7077
211914-51-1,furin,4.3697,0.5383
150322-43-3,furin,4.8954,1.3536
1744-22-5,furin,4.9703,1.6705
23239-51-2,furin,4.7634,1.2295
21679-14-1,furin,4.485,1.1218
105816-04-4,furin,5.05,1.7119
57248-88-1,furin,4.8429,1.5585
39133-31-8,furin,4.5404,1.0445
135062-02-1,furin,4.0417,0.7494
13311-84-7,furin,4.7138,1.2727
28657-80-9,furin,4.5862,0.7818
55268-74-1,furin,5.1783,1.3504
16676-29-2,furin,4.2487,0.4729
5633-20-5,furin,4.3826,0.6969
51-21-8,furin,4.48,0.8855
147526-32-7,furin,4.3183,0.7544
7279-75-6,furin,4.6366,0.993
96036-03-2,furin,4.3518,0.5286
220620-09-7,furin,4.0694,0.8025
167221-71-8,furin,4.1436,0.5302
100299-08-9,furin,4.9496,1.5746
70288-86-7,furin,4.834,1.4093
23651-95-8,furin,4.6963,1.0452
81131-70-6,furin,4.2334,0.5697
141-90-2,furin,4.0616,0.9438
405165-61-9,furin,4.4996,0.8735
19387-91-8,furin,3.9665,0.9392
26159-34-2,furin,4.1853,0.4967
19171-19-8,furin,4.391,0.8841
34552-83-5,furin,4.6444,1.3772
103177-37-3,furin,5.0121,1.7384
60-56-0,furin,5.5768,2.5834
52-01-7,furin,5.037,1.2917
67-48-1,furin,4.8353,1.2503
55-06-1,furin,4.6862,1.3877
23964-57-0,furin,5.024,1.7136
19767-45-4,furin,4.1517,0.7176
7681-93-8,furin,4.2204,0.6423
51333-22-3,furin,4.6452,1.0097
78110-38-0,furin,4.7847,0.641
1156-19-0,furin,4.2165,0.5678
83-43-2,furin,4.3361,0.6559
55-98-1,furin,4.3307,0.7576
127-69-5,furin,4.2883,0.5694
88889-14-9,furin,4.9265,1.4697
138402-11-6,furin,4.6912,1.0063
159351-69-6,furin,4.6313,1.1556
57-83-0,furin,5.1503,1.459
55079-83-9,furin,4.6632,1.06
5451-09-2,furin,4.552,0.9168
645-05-6,furin,4.5984,1.1673
91832-40-5,furin,4.2688,0.8753
2668-66-8,furin,5.3394,2.0144
153559-49-0,furin,5.0509,1.5268
603-50-9,furin,4.8116,1.3934
69388-84-7,furin,4.1569,0.9827
159811-51-5,furin,4.6863,0.8854
638-94-8,furin,4.3717,0.9956
211915-06-9,furin,4.1646,1.0781
1177-87-3,furin,4.3782,1.2296
1115-70-4,furin,4.8928,1.2549
144689-63-4,furin,4.0446,1.2036
882-09-7,furin,4.0039,1.1906
139481-59-7,furin,5.0254,1.8534
723-46-6,furin,4.5207,0.6304
57-66-9,furin,4.716,1.0843
1069-66-5,furin,4.4136,1.297
15307-79-6,furin,4.2258,0.7873
60-32-2,furin,4.3818,1.2341
13647-35-3,furin,4.2813,0.7359
29094-61-9,furin,4.7925,0.9664
98319-26-7,furin,5.0062,1.9902
23593-75-1,furin,4.8932,1.081
1508-76-5,furin,4.3062,1.112
6080-58-6,furin,4.6078,0.7471
68-35-9,furin,4.312,0.9555
23674-86-4,furin,4.1338,0.598
1953-02-2,furin,3.9752,0.9193
356-12-7,furin,4.5177,0.5751
624-49-7,furin,4.5891,1.2711
651-06-9,furin,4.2351,0.9429
127-56-0,furin,5.0931,1.4382
144-83-2,furin,4.4227,0.7188
127-79-7,furin,4.2774,0.5807
149647-78-9,furin,4.2627,0.4506
144-82-1,furin,4.4531,0.9296
595-33-5,furin,4.7612,0.927
19356-17-3,furin,4.281,0.6753
67392-87-4,furin,5.1171,1.9706
80474-14-2,furin,4.6458,1.3968
71-58-9,furin,4.0383,0.7613
2447-57-6,furin,4.2099,0.8304
635728-49-3,furin,4.7256,1.2622
101152-94-7,furin,4.9586,1.1189
124937-52-6,furin,4.5806,0.8873
113852-37-2,furin,4.2183,0.8686
51481-61-9,furin,4.6196,0.9389
177036-94-1,furin,4.8198,0.9546
80-50-2,furin,3.9277,0.6966
434-13-9,furin,4.9313,1.2021
637-58-1,furin,5.4373,2.0207
107724-20-9,furin,4.7053,0.9374
137862-53-4,furin,4.5818,0.9905
302-79-4,furin,4.3825,0.8411
71963-77-4,furin,5.3914,2.2956
19774-82-4,furin,4.4044,0.7517
145040-37-5,furin,5.112,1.4989
173334-58-2,furin,4.6729,1.2415
80621-81-4,furin,4.8008,1.2212
119302-91-9,furin,4.6328,1.1036
1070-11-7,furin,4.027,0.7903
50-55-5,furin,4.2579,0.9875
22260-51-1,furin,4.128,0.6142
541-22-0,furin,4.3539,1.1576
865-21-4,furin,5.0123,1.6372
52-21-1,furin,5.1951,2.1361
83905-01-5,furin,5.3271,2.1851
72559-06-9,furin,4.5017,1.2631
1476-53-5,furin,4.3391,0.8655
297-76-7,furin,5.0266,1.6577
5593-20-4,furin,5.3364,2.2347
64-77-7,furin,4.5758,0.6342
