compound_id,target_id,target_class,target_family,strain,isomeric_smiles,label_pkd,glidesp_pr,pignet2_pr,ligunity_pr,boltz2_pr,balm_pr,mammal_pr,label_source,round_id
113852-37-2,pa_h3n2,PA,pa,H3N2,Nc1ccn(C[C@@H](CO)OCP(=O)([O-])[O-])c(=O)n1,4.222,0.5807,0.5622,0.3025,0.6669,0.0348,0.0032,synthetic,round_0
115256-11-6,pa_h3n2,PA,pa,H3N2,C[N@@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,4.272,0.6197,0.6713,0.2527,0.3248,0.7906,0.4795,synthetic,round_0
1156-19-0,pa_h3n2,PA,pa,H3N2,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CCCCCC2)cc1,4.395,0.7873,0.4857,0.1895,0.2372,0.9905,0.5821,synthetic,round_0
117-37-3,pa_h3n2,PA,pa,H3N2,COc1ccc(C2=C([O-])c3ccccc3C2=O)cc1,6.052,0.9934,0.955,0.7308,0.997,0.8366,0.2023,synthetic,round_0
118072-93-8,pa_h3n2,PA,pa,H3N2,O=P([O-])([O-])[C@@](O)(Cn1cc[nH+]c1)P(=O)([O-])O,4.06,0.9987,0.9264,0.9252,0.5815,0.3654,0.7006,synthetic,round_0
119413-54-6,pa_h3n2,PA,pa,H3N2,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1,5.22,0.6839,0.9667,0.3074,0.473,0.8888,0.6097,synthetic,round_0
1195765-45-7,pa_h3n2,PA,pa,H3N2,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,3.36,0.069,0.1017,0.0121,0.0216,0.3818,0.9233,synthetic,round_0
120-97-8,pa_h3n2,PA,pa,H3N2,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,3.771,0.464,0.1217,0.755,0.4951,0.833,0.4111,synthetic,round_0
120011-70-3,pa_h3n2,PA,pa,H3N2,COc1cc2c(cc1OC)C(=O)[C@@H](C[C@H]1CC[N@H+](Cc3ccccc3)CC1)C2,3.541,0.0021,0.001,0.4599,0.466,0.3264,0.6048,synthetic,round_0
120202-66-6,pa_h3n2,PA,pa,H3N2,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,6.525,0.9146,0.9667,0.9193,0.9977,0.9362,0.9831,synthetic,round_0
120511-73-1,pa_h3n2,PA,pa,H3N2,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,4.687,0.5847,0.4125,0.2101,0.277,0.6322,0.2273,synthetic,round_0
122111-03-9,pa_h3n2,PA,pa,H3N2,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,4.714,0.956,0.9907,0.9853,0.8422,0.5035,0.2972,synthetic,round_0
122320-73-4,pa_h3n2,PA,pa,H3N2,CN(CCOc1ccc(C[C@@H]2SC(=O)NC2=O)cc1)c1cccc[nH+]1,4.542,0.2685,0.2089,0.5021,0.5847,0.5065,0.1209,synthetic,round_0
122647-32-9,pa_h3n2,PA,pa,H3N2,CCCCCCC[N@@H+](CC)CCC[C@H](O)c1ccc(NS(C)(=O)=O)cc1,3.549,0.7568,0.7754,0.459,0.9872,0.04,0.3797,synthetic,round_0
122883-93-6,pa_h3n2,PA,pa,H3N2,O=C1Cc2cc(CC[NH+]3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,5.688,0.838,0.9502,0.8699,0.9814,0.9879,0.6688,synthetic,round_0
1247-42-3,pa_h3n2,PA,pa,H3N2,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,6.445,0.5701,0.2607,0.9769,0.9813,0.999,0.999,synthetic,round_0
124750-99-8,pa_h3n2,PA,pa,H3N2,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,4.792,0.2617,0.3206,0.5511,0.8856,0.0846,0.452,synthetic,round_0
124937-52-6,pa_h3n2,PA,pa,H3N2,Cc1ccc(O)c([C@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,4.47,0.283,0.0157,0.5197,0.486,0.8397,0.5008,synthetic,round_0
125-84-8,pa_h3n2,PA,pa,H3N2,CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,4.112,0.3903,0.5858,0.9862,0.8607,0.4806,0.4066,synthetic,round_0
1263-89-4,pa_h3n2,PA,pa,H3N2,N[C@H]1[C@@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H]([NH3+])[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)O[C@@H](C[NH3+])[C@@H](O)[C@@H]1O,3.824,0.7331,0.4223,0.3467,0.4498,0.0573,0.1069,synthetic,round_0
1264-62-6,pa_h3n2,PA,pa,H3N2,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,3.575,0.5479,0.9432,0.7355,0.9025,0.001,0.3137,synthetic,round_0
127-07-1,pa_h3n2,PA,pa,H3N2,NC(=O)NO,4.143,0.9887,0.9686,0.4517,0.5397,0.5247,0.1495,synthetic,round_0
127-56-0,pa_h3n2,PA,pa,H3N2,CC(=O)NS(=O)(=O)c1ccc(N)cc1,6.109,0.4206,0.871,0.9931,0.9025,0.3441,0.9532,synthetic,round_0
127-79-7,pa_h3n2,PA,pa,H3N2,Cc1ccnc([N-]S(=O)(=O)c2ccc(N)cc2)n1,4.02,0.984,0.366,0.9164,0.8192,0.7629,0.3732,synthetic,round_0
128794-94-5,pa_h3n2,PA,pa,H3N2,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,3.864,0.044,0.2817,0.4803,0.3695,0.5579,0.4439,synthetic,round_0
129101-54-8,pa_h3n2,PA,pa,H3N2,CCN(C)C(=O)Oc1cccc([C@H](C)[NH+](C)C)c1,4.186,0.8308,0.8168,0.9,0.8376,0.9682,0.5649,synthetic,round_0
129497-78-5,pa_h3n2,PA,pa,H3N2,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5[nH+]c(cc1[nH]2)C(C)=C5CCC(=O)OC)c(CCC(=O)[O-])c4C)[C@@]1(C)C3=CC=C(C(=O)OC)[C@H]1C(=O)OC,3.17,0.1389,0.658,0.032,0.3272,0.1171,0.6134,synthetic,round_0
129722-12-9,pa_h3n2,PA,pa,H3N2,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.225,0.9858,0.8147,0.9215,0.5609,0.3625,0.2824,synthetic,round_0
130-61-0,pa_h3n2,PA,pa,H3N2,CSc1ccc2c(c1)N(CC[C@H]1CCCC[N@@H+]1C)c1ccccc1S2,4.021,0.2543,0.3816,0.0563,0.0379,0.1478,0.0166,synthetic,round_0
13010-47-4,pa_h3n2,PA,pa,H3N2,O=NN(CCCl)C(=O)NC1CCCCC1,5.764,0.5139,0.7331,0.7555,0.4486,0.4035,0.7528,synthetic,round_0
132-17-2,pa_h3n2,PA,pa,H3N2,C[N@@H+]1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,4.059,0.5887,0.3049,0.2825,0.1352,0.2798,0.5053,synthetic,round_0
132-18-3,pa_h3n2,PA,pa,H3N2,C[N@H+]1CC[C@H](OC(c2ccccc2)c2ccccc2)CC1,3.634,0.8519,0.7324,0.5823,0.6865,0.2759,0.1463,synthetic,round_0
132539-06-1,pa_h3n2,PA,pa,H3N2,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,4.361,0.3471,0.8954,0.2193,0.3621,0.1829,0.9604,synthetic,round_0
13292-46-1,pa_h3n2,PA,pa,H3N2,CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c([O-])c4c(O)c(c(/C=N/N5CC[NH+](C)CC5)c([O-])c4c3C2=O)NC(=O)/C(C)=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,3.497,0.79,0.2389,0.4052,0.1975,0.0136,0.0924,synthetic,round_0
133-67-5,pa_h3n2,PA,pa,H3N2,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](C(Cl)Cl)NS2(=O)=O,4.572,0.4004,0.8071,0.2217,0.3344,0.1935,0.4732,synthetic,round_0
133099-07-7,pa_h3n2,PA,pa,H3N2,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CC[N@H+](CCc2ccc3c(c2)CCO3)C1,4.391,0.9986,0.9195,0.6061,0.8499,0.0697,0.4929,synthetic,round_0
133454-47-4,pa_h3n2,PA,pa,H3N2,COc1cc(C(C)=O)ccc1OCCC[N@H+]1CC[C@@H](c2noc3cc(F)ccc32)CC1,4.786,0.2539,0.5534,0.5367,0.8017,0.6859,0.2378,synthetic,round_0
134308-13-7,pa_h3n2,PA,pa,H3N2,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,4.569,0.392,0.2147,0.7102,0.8088,0.0541,0.6017,synthetic,round_0
134523-03-8,pa_h3n2,PA,pa,H3N2,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-],5.333,0.136,0.06,0.9109,0.7615,0.6504,0.6988,synthetic,round_0
135729-62-3,pa_h3n2,PA,pa,H3N2,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1C[N@H+]2CC[C@@H]1CC2,4.404,0.2497,0.0519,0.4026,0.4962,0.6814,0.573,synthetic,round_0
136-40-3,pa_h3n2,PA,pa,H3N2,Nc1ccc(N=Nc2ccccc2)c(N)n1,4.629,0.6018,0.2444,0.6833,0.5278,0.9938,0.8826,synthetic,round_0
136572-09-3,pa_h3n2,PA,pa,H3N2,CCc1c2c(nc3ccc(OC(=O)N4CCC([NH+]5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,3.786,0.4413,0.2308,0.2031,0.2888,0.0356,0.3728,synthetic,round_0
137-58-6,pa_h3n2,PA,pa,H3N2,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,3.991,0.7666,0.6734,0.3321,0.6508,0.337,0.7111,synthetic,round_0
137071-32-0,pa_h3n2,PA,pa,H3N2,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,3.147,0.2586,0.4667,0.0905,0.0677,0.0935,0.0412,synthetic,round_0
138402-11-6,pa_h3n2,PA,pa,H3N2,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,4.855,0.9958,0.9891,0.4162,0.8205,0.8472,0.466,synthetic,round_0
138530-94-6,pa_h3n2,PA,pa,H3N2,Cc1c(OCC(F)(F)F)cc[nH+]c1C[S@](=O)c1nc2ccccc2[nH]1,5.22,0.8213,0.9477,0.7977,0.648,0.213,0.5394,synthetic,round_0
138926-19-9,pa_h3n2,PA,pa,H3N2,CCCCC[N@@H+](C)CC[C@@](O)(P(=O)([O-])[O-])P(=O)([O-])O,4.629,0.6201,0.6619,0.3707,0.5534,0.2798,0.9323,synthetic,round_0
139110-80-8,pa_h3n2,PA,pa,H3N2,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],4.477,0.3683,0.3328,0.2073,0.044,0.7367,0.9209,synthetic,round_0
140462-76-6,pa_h3n2,PA,pa,H3N2,C[NH+](C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)[O-])cc21,4.134,0.7935,0.9255,0.1415,0.2188,0.9668,0.151,synthetic,round_0
141-90-2,pa_h3n2,PA,pa,H3N2,O=c1cc[nH]c(=S)[nH]1,4.993,0.7208,0.5046,0.2697,0.2734,0.5962,0.1524,synthetic,round_0
141505-33-1,pa_h3n2,PA,pa,H3N2,C[C@@H]1CC(=O)NN=C1c1ccc([N-]N=C(C#N)C#N)cc1,4.37,0.9226,0.9241,0.8249,0.8331,0.4004,0.9808,synthetic,round_0
141625-93-6,pa_h3n2,PA,pa,H3N2,CCCCc1oc2ccc([N-]S(C)(=O)=O)cc2c1C(=O)c1ccc(OCCC[NH+](CCCC)CCCC)cc1,4.176,0.9317,0.8797,0.8228,0.5511,0.6456,0.6778,synthetic,round_0
142340-99-6,pa_h3n2,PA,pa,H3N2,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,5.571,0.6816,0.8154,0.8195,0.8206,0.2912,0.7341,synthetic,round_0
144-82-1,pa_h3n2,PA,pa,H3N2,Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,5.191,0.5638,0.9904,0.8871,0.9869,0.5827,0.4112,synthetic,round_0
144060-53-7,pa_h3n2,PA,pa,H3N2,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-],4.886,0.9379,0.9084,0.7854,0.7725,0.7705,0.1691,synthetic,round_0
144689-63-4,pa_h3n2,PA,pa,H3N2,CCCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,5.614,0.8222,0.7062,0.9749,0.9415,0.5851,0.7576,synthetic,round_0
144701-48-4,pa_h3n2,PA,pa,H3N2,CCCc1[nH+]c2c(C)cc(-c3[nH+]c4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1,4.465,0.3204,0.3509,0.2224,0.6294,0.4354,0.7055,synthetic,round_0
145040-37-5,pa_h3n2,PA,pa,H3N2,CCOc1nc2cccc(C(=O)O[C@@H](C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,3.354,0.9043,0.4779,0.7143,0.7474,0.0058,0.0689,synthetic,round_0
145108-58-3,pa_h3n2,PA,pa,H3N2,Cc1cccc([C@H](C)c2c[nH+]c[nH]2)c1C,4.116,0.9168,0.6186,0.976,0.7653,0.1271,0.4121,synthetic,round_0
146464-95-1,pa_h3n2,PA,pa,H3N2,C#CC[C@@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,3.815,0.069,0.3326,0.6113,0.1139,0.6727,0.2965,synthetic,round_0
147-94-4,pa_h3n2,PA,pa,H3N2,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,5.083,0.72,0.9681,0.5927,0.4222,0.2877,0.862,synthetic,round_0
147127-20-6,pa_h3n2,PA,pa,H3N2,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)([O-])O,4.086,0.5957,0.7109,0.124,0.2121,0.6159,0.2085,synthetic,round_0
147403-03-0,pa_h3n2,PA,pa,H3N2,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,5.038,0.9974,0.9678,0.999,0.6163,0.5245,0.664,synthetic,round_0
1476-53-5,pa_h3n2,PA,pa,H3N2,CO[C@@H]1[C@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c([O-])c(NC(=O)c4ccc([O-])c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,3.903,0.0377,0.0687,0.4014,0.2233,0.3606,0.2105,synthetic,round_0
148-79-8,pa_h3n2,PA,pa,H3N2,c1ccc2[nH]c(-c3cscn3)nc2c1,5.572,0.4499,0.3371,0.8139,0.9222,0.7218,0.1083,synthetic,round_0
148849-67-6,pa_h3n2,PA,pa,H3N2,COc1cc2c(cc1OC)CC(=O)N(CCC[N@@H+](C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,3.742,0.6655,0.7089,0.3787,0.2972,0.0225,0.105,synthetic,round_0
149647-78-9,pa_h3n2,PA,pa,H3N2,O=C(CCCCCCC(=O)Nc1ccccc1)NO,4.26,0.6411,0.3996,0.6877,0.6701,0.5478,0.1966,synthetic,round_0
150-76-5,pa_h3n2,PA,pa,H3N2,COc1ccc(O)cc1,3.636,0.3816,0.6062,0.1837,0.137,0.641,0.4018,synthetic,round_0
150322-43-3,pa_h3n2,PA,pa,H3N2,CC(=O)Oc1cc2c(s1)CCN([C@H](C(=O)C1CC1)c1ccccc1F)C2,4.734,0.4849,0.4816,0.6362,0.5524,0.2388,0.4714,synthetic,round_0
150399-23-8,pa_h3n2,PA,pa,H3N2,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1,4.807,0.9796,0.9018,0.5396,0.9021,0.6803,0.7926,synthetic,round_0
150683-30-0,pa_h3n2,PA,pa,H3N2,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,3.63,0.0201,0.1256,0.6564,0.5067,0.357,0.728,synthetic,round_0
1508-65-2,pa_h3n2,PA,pa,H3N2,CC[NH+](CC)CC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1,5.067,0.7557,0.8813,0.8095,0.5479,0.3569,0.1089,synthetic,round_0
1508-75-4,pa_h3n2,PA,pa,H3N2,CCN(Cc1ccncc1)C(=O)[C@H](CO)c1ccccc1,4.447,0.2243,0.2745,0.7493,0.1515,0.328,0.7452,synthetic,round_0
1508-76-5,pa_h3n2,PA,pa,H3N2,O[C@](CC[NH+]1CCCC1)(c1ccccc1)C1CCCCC1,3.767,0.512,0.14,0.0101,0.0228,0.1275,0.8189,synthetic,round_0
152-62-5,pa_h3n2,PA,pa,H3N2,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,4.57,0.2145,0.0652,0.6369,0.8837,0.7322,0.997,synthetic,round_0
152520-56-4,pa_h3n2,PA,pa,H3N2,O[C@@H](C[NH2+]C[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,3.995,0.9966,0.9552,0.9984,0.981,0.8806,0.9154,synthetic,round_0
15307-81-0,pa_h3n2,PA,pa,H3N2,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl,3.735,0.2593,0.5601,0.074,0.3546,0.1351,0.1596,synthetic,round_0
153559-49-0,pa_h3n2,PA,pa,H3N2,C=C(c1ccc(C(=O)[O-])cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,4.317,0.5682,0.6112,0.1015,0.1611,0.6777,0.6919,synthetic,round_0
154229-19-3,pa_h3n2,PA,pa,H3N2,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,3.989,0.5365,0.2481,0.2755,0.4594,0.9176,0.8608,synthetic,round_0
154361-50-9,pa_h3n2,PA,pa,H3N2,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,5.022,0.9963,0.9559,0.9864,0.9244,0.9205,0.7966,synthetic,round_0
155206-00-1,pa_h3n2,PA,pa,H3N2,CCNC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O,4.704,0.7377,0.8771,0.5061,0.5102,0.9279,0.4156,synthetic,round_0
155213-67-5,pa_h3n2,PA,pa,H3N2,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.214,0.3477,0.6147,0.9302,0.776,0.0362,0.2807,synthetic,round_0
156-57-0,pa_h3n2,PA,pa,H3N2,[NH3+]CCS,3.656,0.7434,0.7912,0.1128,0.4955,0.3295,0.154,synthetic,round_0
